DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 12,Knott,37.32895,-83.020013889,County,KYTC,060C00092N,02,3,2021-08-18,720.0,Fair,No,Local,2020s,,7,5,7,,Physician Dr,Troublesome Creek,57' Single Span Steel Stringer/Girder,P Posted for load,9.0,1 Highway,5 Waterway
District 04,Marion,37.58464631,-85.402448454,County,KYTC,078C00119N,02,3,2024-08-20,800.0,Good,No,Local,1990s,,7,7,7,223.0,WIMSATT RD,TRIB-PRATHER CREEK,1- 50        FT PRESTRESSED CONC  BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Pendleton,38.657952778,-84.273813889,County,KYTC,096C00108N,02,3,2021-07-08,656.0,Good,No,Local,2020s,,8,8,8,,MILFORD RIVER,TRIB. TO LICKING RIVER,,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.064366667,-85.01695,County,KYTC,003C00067N,02,3,2021-07-15,593.0,Good,No,Local,2020s,,7,8,7,,TRACY RD,Branch of Benson Creek,30' SINGLE SPAN WEATHERING STEEL STRINGER,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Graves,36.689049682,-88.486635182,KYTC,CONTRACTOR,042B00302N,01,3,2021-07-30,2025.0,Good,No,State,2020s,Rural Secondary,N,N,N,100.0,KY 1124,Watson Creek,"ALBC 53, 21'-2"" span x 8' - 10"" rise","A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.0256,-84.8818,County,KYTC,003C00068N,02,3,2021-07-15,507.0,Good,No,Local,2020s,,8,8,8,,BOND & LILLARD RD,CEDAR BROOK,32' SINGLE SPAN WEATHERING STEEL STRINGER,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Trigg,36.799764,-87.976713,KYTC,CONTRACTOR,111B00068N,01,3,2019-07-30,286517.0,Good,Yes,State,2010s,State Primary (Other),8,8,8,4908.0,US 68,CUMBERLAND RIVER,,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Knox,36.919166667,-83.648055556,County,KYTC,061C00110N,02,3,2021-08-09,1088.0,Good,No,Local,2020s,,8,8,8,,Trace Branch,Stinking Creek,"66'-6"" Single Span CB27 PPC Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 06,Boone,38.960911111,-84.656713889,KYTC,CONTRACTOR,008B00098N,01,3,2021-07-22,575.0,Fair,No,State,Over 100,State Secondary,7,6,7,4500.0,KY 237,TRIB TO GUNPOWDER CREEK,"SINGLE SPAN, 7 STEEL I BEAMS",P Posted for load,22.0,1 Highway,5 Waterway
District 07,Anderson,38.026944444,-85.109742,KYTC,CONTRACTOR,003B00062N,01,3,2023-09-20,5684.0,Good,No,State,2020s,State Secondary,8,8,8,385.0,KY 44,Crooked Creek,65'x84'x65' SB42 ~ 30° Skew Left ~ Continuous,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Clay,37.099444444,-83.755555556,County,KYTC,026C00150N,02,3,2021-10-12,2484.0,Good,No,Local,2020s,,7,7,7,687.0,CR 1238,Collins Fk of Goose Crk,"33'3.5"", 56'-1"", 33'3.5"" CB12/21 PPC Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.710555556,-83.978055556,County,KYTC,118C00075N,02,3,2021-10-12,1040.0,Good,No,Local,2020s,,8,8,8,49.0,Lick Fork,Poplar Creek,"63'-5"" PPC Box Beam, CB27, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 09,Carter,38.220277778,-82.871111111,County,KYTC,022C00078N,02,3,2021-09-23,593.0,Good,No,Local,2020s,,8,8,8,,REEVES HLW CR-1167,Lost Creek,Reeves Hollow,"A Open, no restriction",,1 Highway,5 Waterway
District 05,Jefferson,38.277216687,-85.79886502,KYTC,KYTC,056B00284N,01,3,2022-02-23,251055.0,Fair,Yes,State,1960s,State Primary (Interst.),6,5,6,65180.0,I-64,NS RAILROAD,30 - 8 SERIES OF CONT WSPG SPANS,"A Open, no restriction",,1 Highway,2 Railroad
District 10,Wolfe,37.733333333,-83.457777778,KYTC,KYTC,119B00085N,01,3,2023-11-15,1056.0,Good,No,State,2020s,Rural Secondary,8,8,8,375.0,KY 1812,Landsaw Fork,"42'-6"" PPC Box Beam CB17 - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 06,Pendleton,38.670277778,-84.288888889,County,KYTC,096C00109N,02,3,2021-09-23,763.0,Good,No,Local,2020s,,8,7,7,,MILFORD RD,TRIB. TO LICKING RIVER,38.08' Single Span Weathering Steel Open Girder I-beam,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.640555556,-84.1175,County,KYTC,118C00072N,02,3,2020-07-15,1800.0,Good,No,Local,2020s,,8,8,8,111.0,Foley Bend Road,CSX Railroad,2 Span W18X65 Steel Girder with Grid Deck,"A Open, no restriction",,1 Highway,2 Railroad
District 12,Letcher,37.179166667,-82.715277778,KYTC,CONTRACTOR,067B00146N,01,3,2023-01-06,1049.4,Good,No,State,2020s,State Secondary,8,7,8,2922.0,KY-805,Potters Fork,"47'-8"" PPC Box Beam, CB33, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 10,Estill,37.689166667,-83.8575,KYTC,KYTC,033B00047N,01,3,2024-02-05,1056.0,Good,No,State,2020s,Supplemental Road,8,8,8,249.0,KY-1182,Furnace Fork,"42'-6"" PPC Box Beam CB17 ~ Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 08,Adair,37.106941667,-85.303055556,KYTC,KYTC,001B00090N,01,3,2021-03-01,0.0,Good,No,State,2010s,State Secondary,N,N,N,8263.0,KY-55X and KY-206,Branch of Russell Creek,"14'-10"" X 4'-10"" X 199' AL Plate Culvert on ~ 49° SK","A Open, no restriction",,1 Highway,5 Waterway
District 03,Allen,36.734166667,-86.191666667,County,CONTRACTOR,002C00073N,02,3,2021-11-08,576.0,Good,No,Local,2020s,,8,7,8,50.0,Old Walnut Trail,West Bays Fork Creek,"46'-6"" CB17x48 PPC Box Beam - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 09,Carter,38.299722222,-82.9475,KYTC,CONTRACTOR,022B00172N,01,3,2025-01-31,9600.5,Good,No,State,2020s,Supplemental Road,8,8,8,1999.0,KY-773,LITTLE SANDY RIVER,,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Gallatin,38.7551,-84.813983333,KYTC,KYTC,039B00051N,01,3,2021-12-13,0.0,Fair,No,State,2020s,Rural Secondary,N,N,N,430.0,KY 3002,TRIB-BIG SUGAR CREEK,,"A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.197488889,-82.712477778,City,KYTC,067C00098N,04,3,2021-04-26,396.0,Good,No,Local,2020s,,7,7,7,50.0,Welch Holw,Yonts Fork,33' - Single Span Steel Stringer/Multi-beam or Girder,P Posted for load,6.0,1 Highway,5 Waterway
District 12,Lawrence,38.218055556,-82.740277778,County,KYTC,064C00092N,02,3,2021-06-14,660.0,Good,No,Local,2020s,,8,8,8,90.0,Little East Frk Rd,E Frk Little Sandy River,"53'-6"" PPC Box Beam, CB21, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.828888889,-84.0975,County,KYTC,118C00074N,02,3,2021-06-14,768.0,Good,No,Local,2020s,,8,8,8,,Imperial Hollow Rd,Colonel Creek,"46'-6"" PPC Box Beam, CB17, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 06,Boone,39.083545,-84.736618,KYTC,CONTRACTOR,008B00095N,01,3,2025-01-31,18801.86,Good,No,State,2020s,State Secondary,9,9,9,3576.0,KY-495,275,,"A Open, no restriction",,5 Highway-pedestrian,1 Highway
District 06,Grant,38.628333333,-84.709722222,KYTC,CONTRACTOR,041B00074N,01,3,2025-02-05,9004.5,Good,No,State,2020s,State Primary (Other),8,8,8,1517.0,KY 22,Eagle Creek,"333'-5 7/8"" ~ Type 4 PPC I-Beam ~ 3 Continuous Spans","A Open, no restriction",,1 Highway,5 Waterway
District 03,Monroe,36.666222,-85.746237,County,KYTC,086C00032N,02,3,2021-03-01,519.75,Fair,No,Local,2010s,,6,7,6,,Ebenezer Rd. ,Unnamed Stream,Single Span 36ft. Steel multibeam,P Posted for load,15.0,1 Highway,5 Waterway
District 07,Madison,37.844583333,-84.161186111,County,CONTRACTOR,076C00103N,02,3,2021-11-08,1180.0,Fair,No,Local,2020s,,7,8,6,,Doylesville Rd,BR of Muddy Creek,"57'-6"" Simple Span CB27x48 Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 01,Marshall,36.824444444,-88.440277778,County,KYTC,079C00103N,02,3,2020-12-02,1680.0,Good,No,Local,2020s,,8,8,8,117.0,Houser Rd CR-1286,Smith Creek,1-70' PRE CAST PRESTRESSED CONC BOX BEAMS SIDE BY SIDE,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Webster,37.495852,-87.604508,County,KYTC,117C00077N,02,3,2021-03-30,763.0,Good,No,Local,2020s,,8,8,8,,John Roach Road,Branch of Deer Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 08,Casey,37.23994,-84.993899,County,KYTC,023C00120N,02,3,2024-09-06,864.0,Fair,No,Local,1990s,,8,6,8,,Rubarts Road,Garrett Creek,Single Span 36’ Box Beam,P Posted for load,33.0,1 Highway,5 Waterway
District 09,Fleming,38.411916667,-83.913438889,KYTC,KYTC,035B00108N,01,3,2021-06-22,377.13,Good,No,State,2020s,Supplemental Road,N,N,N,96.0,KY 681,Buchanan Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Harlan,36.835277778,-83.373611111,KYTC,CONTRACTOR,048B00208N,01,3,2022-12-30,672.0,Good,No,State,2020s,Rural Secondary,8,8,8,243.0,KY-3451,Ewing Creek,"32'-0"" PPL Box Beam ~ CB17-36 ~ Single Span","A Open, no restriction",,1 Highway,5 Waterway
District 02,Ohio,37.416388889,-86.853888889,KYTC,KYTC,092B00188N,01,3,2023-09-25,4016.2,Good,No,State,2020s,State Secondary,8,8,8,2678.0,US 62,BR of Three Lick Fork,"90'-0"" PPC I-Beam, Type 4, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 01,Crittenden,37.448055556,-88.058055556,County,CONTRACTOR,028C00079N,02,3,2021-04-26,1120.0,Good,No,Local,2020s,,8,8,8,126.0,Cotton Patch Rd,Hughes Branch,"56'-0"" Single Span, CB21x48 Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 02,Muhlenberg,37.223055556,-87.2075,KYTC,CONTRACTOR,089B00141N,01,3,2021-06-17,806.0,Good,No,State,2020s,Rural Secondary,N,N,N,1352.0,KY 601,Caney Creek,1 Span 25Wx36L Aluminum Culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.140555556,-82.765555556,County,CONTRACTOR,067C00094N,02,3,2020-11-09,1104.0,Good,No,Local,2020s,,8,7,8,60.0,Holbrook Town ,N. Fork Kentucky River,"67'-6"" Simple Span CB27x48 Box Beams ","A Open, no restriction",,1 Highway,5 Waterway
District 10,Wolfe,37.787222222,-83.4225,KYTC,CONTRACTOR,119B00084N,01,3,2023-11-15,2256.0,Good,No,State,2020s,State Primary (Other),8,8,8,1132.0,KY-191,Lacey Creek,"92'-6"" Single Span CB 42 Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 01,Calloway,36.569444444,-88.171944444,KYTC,CONTRACTOR,018B00143N,01,3,2022-12-29,1632.0,Fair,No,State,2020s,Rural Secondary,7,6,8,294.0,KY-280,Panther Creek,"68'-0"" CB27x48 PPC Box Beams - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 07,Madison,37.730369,-84.425974,County,KYTC,076C00102N,02,3,2021-04-21,484.61,Good,No,Local,2020s,,N,N,N,116.0,Bogie mill road,Bogie Branch,,P Posted for load,25.0,1 Highway,5 Waterway
District 11,Clay,37.318888889,-83.760833333,County,KYTC,026C00149N,02,3,2021-06-14,528.0,Good,No,Local,2020s,,8,7,8,,CR 1371,Little Sexton Creek,"42'-6"" Box Beam, CB17, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,37.941056,-85.052223,County,KYTC,003C00065N,02,3,2020-07-08,450.0,Good,No,Local,2010s,,8,8,8,,Duncan Road,Beaver Creek,25 ft. - single span weathering steel stringer ,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.68,-84.045277778,County,CONTRACTOR,118C00071N,02,3,2020-10-05,736.0,Good,No,Local,2020s,,8,8,8,105.0,Bethel Road,Patterson Creek,46' PPC Box Beam CB27X48 Simple Span,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Webster,37.568611111,-87.589444444,County,CONTRACTOR,117C00076N,02,3,2020-08-17,571.0,Good,No,Local,2010s,,N,N,N,49.0,COUNTRYSIDE DRIVE,BR OF KNOBLICK CREEK,21' x 37.5' single barrel aluminum culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Laurel,37.220277778,-84.016111111,KYTC,CONTRACTOR,063B00124N,01,3,2023-01-06,2712.0,Good,No,State,2020s,Rural Secondary,8,7,8,409.0,KY-638,Big Raccoon Creek,3 Span - CB 17x48 Continuous Box Beam,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Knox,36.934166667,-83.94,County,CONTRACTOR,061C00106N,02,3,2020-10-12,1332.0,Good,No,Local,2020s,,8,8,8,,CR-1325,Middle Fork Creek,54' CB 21X48 PPC Box Beam - Simple Span,"A Open, no restriction",,1 Highway,5 Waterway
District 01,McCracken,37.077513889,-88.717716667,County,CONTRACTOR,073C00084N,02,3,2020-11-30,2374.4,Good,No,Local,2010s,,N,N,N,,MAXON RD (CR1302),UNNAMED STREAM,1-45 ALUMINUM BOX CULVERT W/ CONC. H-WALLS & W-WALLS,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Grayson,37.433888889,-86.157777778,County,KYTC,043C00065N,02,3,2020-07-20,1024.0,Good,No,Local,2020s,,9,8,9,30.0,Horntown Road,Rock Creek,1-67' Side by side PC Box girder span with RC Deck,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Trigg,36.802777778,-87.936666667,KYTC,KYTC,111B00072L,01,3,2023-09-25,8064.0,Good,Yes,State,2010s,State Primary (Other),8,9,9,2290.0,US 68,HOPSON CREEK,,"A Open, no restriction",,1 Highway,5 Waterway
District 08,Cumberland,36.804597222,-85.487333333,KYTC,KYTC,029B00066N,01,3,2022-08-03,0.0,Poor,No,State,Over 75,Rural Secondary,N,N,N,351.0,KY-100,German Branch,"Double 10' 4' X 26' RC Culvert, No Skew, 1.5' Fill",P Posted for load,22.0,1 Highway,5 Waterway
District 01,Ballard,37.043626,-89.021286,County,CONTRACTOR,004C00083N,02,3,2020-09-21,1150.0,Good,No,Local,2020s,,8,8,8,104.0,Johnson Road,Shawnee Creek,"57'-6"" Box Beam - CB27-48 - Single Span ","A Open, no restriction",,1 Highway,5 Waterway
District 08,McCreary,36.758858,-84.518991,KYTC,KYTC,074B00034N,01,3,2020-03-03,1223.85,Fair,No,State,1980s,Rural Secondary,7,6,5,113.0,KY-700,Yahoo Falls Rock,"59'-8"" Single Span Steel Beam with Concrete Deck",P Posted for load,,1 Highway,0 Other
District 11,Harlan,37.220277778,-84.016111111,KYTC,CONTRACTOR,048B00206N,01,3,2022-12-30,1008.0,Good,No,State,2020s,Rural Secondary,8,8,8,331.0,KY-219,Wallins Creek,"42'-0"" Single Span, CB 17, PPC Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 06,Harrison,38.482780556,-84.216141667,County,KYTC,049C00156N,02,3,2020-03-27,640.0,Good,No,Local,2020s,,9,8,8,30.0,SMITHSONVILLE ROAD,LITTLE BEAVER CREEK,40 Foot-Single Span Steel Stringer/Multi-beam or Girder,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Bath,38.144722222,-83.631111111,KYTC,CONTRACTOR,006B00091N,01,3,2023-11-14,1680.0,Good,No,State,2020s,Rural Secondary,8,8,8,650.0,KY-211,Cow Creek,"68'-6"" CB27x48 PPC Box Beams - Simple Span ","A Open, no restriction",,1 Highway,5 Waterway
District 07,Madison,37.843611111,-84.327222222,KYTC,KYTC,076B00123N,01,3,2023-03-14,22486.1,Good,No,State,2020s,State Primary (Other),7,7,7,9828.0,KY-627,I75,,"A Open, no restriction",,1 Highway,1 Highway
District 02,McLean,37.456388889,-87.235,KYTC,CONTRACTOR,075B00080N,01,3,2023-09-20,792.0,Fair,No,State,2020s,State Secondary,8,5,8,1621.0,KY-81,Slough,"31'-6"" SB17-48 Spread Box Beam Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 03,Allen,36.751944444,-86.409166667,KYTC,KYTC,002B00060N,01,3,2023-06-27,3847.8,Fair,No,State,2020s,Rural Secondary,8,5,8,519.0,KY-585,Middle Fork Drakes Creek,"3 (53-53-53) PPC I-Beam, Type 3 - Continuous Spans","A Open, no restriction",,1 Highway,5 Waterway
District 11,Knox,36.939444444,-84.068888889,County,CONTRACTOR,061C00107N,02,3,2020-11-09,1096.0,Good,No,Local,2020s,,8,8,8,,Spider Creek Road,E Fork Lynn Camp Creek,"67'-0"" Span CB27x48 Box Beam - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.015555556,-82.883055556,KYTC,KYTC,067B00144N,01,3,2023-09-25,1867.5,Good,No,State,2020s,Rural Secondary,8,8,8,326.0,KY-3404,Poor Frk of Cumberland,"80'-0"" PPC I-Beam, Type 4, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 09,Carter,38.281611111,-83.014916667,County,KYTC,022C00077N,02,3,2020-09-08,784.0,Fair,No,Local,1990s,,7,5,6,,CR 1102,Little Sinking Creek,Steel beam or grider with concrete deck,P Posted for load,21.0,1 Highway,5 Waterway
District 08,Rockcastle,37.385833333,-84.335555556,KYTC,KYTC,102B00076N,01,3,2023-09-25,11640.0,Good,Yes,State,2010s,State Primary (Interst.),7,7,7,47638.0,I-75,Green Hill Road,"Type-3 PCI Beam, HL-93 (25) Live Load","A Open, no restriction",,1 Highway,1 Highway
District 08,Rockcastle,37.377777778,-84.330555556,KYTC,KYTC,102B00077N,01,3,2023-01-10,35642.0,Good,Yes,State,2010s,State Primary (Interst.),7,7,7,47638.0,I-75,US-25,"75’0”, 122’-3”, 73’-3”, 3-Span Hybrid HN 54 49 PCIB","A Open, no restriction",,1 Highway,1 Highway
District 04,Nelson,37.912222222,-85.317222222,KYTC,KYTC,090B00124N,01,3,2021-04-01,964.1,Good,No,State,2020s,State Secondary,N,N,N,3862.0,US 62,Hinkle Creek,1- 6.5' X 17.5' X42' RC Box Culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Bath,38.232777778,-83.846944444,KYTC,CONTRACTOR,006B00092N,01,3,2023-11-15,5138.1,Good,No,State,2020s,Rural Secondary,8,7,8,277.0,KY-1106,Flat Creek,3 - 63.5' CB27X36 PPC Box Beam Spans,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Hopkins,37.296111111,-87.571388889,KYTC,CONTRACTOR,054B00233N,01,3,2023-11-15,3869.6,Good,No,State,2020s,State Secondary,7,7,7,2143.0,KY-70,Clear Creek,3 Span - CB17x48 Box Beams - Simple Spans,"A Open, no restriction",,1 Highway,5 Waterway
District 08,McCreary,36.802222222,-84.375277778,KYTC,CONTRACTOR,074B00037N,01,3,2023-01-06,5702.4,Good,No,State,2020s,Rural Secondary,7,8,8,247.0,KY-700,Indian Creek,46'-86'-46' PPC Box Beams CB17-CB42-CB17,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Hickman,36.677777778,-88.818888889,County,CONTRACTOR,053C00073N,02,3,2021-11-23,3348.0,Good,No,Local,2020s,,8,8,8,25.0,Baltimore Church,IC (NOR) RAILROAD,"1-186' Single Span 87"" WSP Girder","A Open, no restriction",,1 Highway,2 Railroad
District 07,Anderson,37.973649,-84.824798,County,KYTC,003C00066N,02,3,2020-07-08,1620.0,Good,No,Local,2010s,,8,8,8,,Gilberts Creek Rd,Gilberts Creek,81 Foot - 2 Span Steel Stringer/Multi-beam or Girder,P Posted for load,35.0,1 Highway,5 Waterway
District 02,Ohio,37.3675,-86.8425,KYTC,KYTC,092B00187R,01,3,2023-09-20,5244.75,Fair,Yes,State,2010s,State Primary (Parkway),7,6,6,5648.0,WK 9001,US 231,3 Span Continous Spread Box 35-49-42,P Posted for load,,1 Highway,1 Highway
District 07,Garrard,37.589722222,-84.546666667,KYTC,CONTRACTOR,040B00046N,01,3,2023-11-15,760.0,Good,No,State,2020s,Rural Secondary,8,8,8,544.0,KY-1972,Gilberts Creek,"36'-6"" Simple Span CB17x48 Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 05,Franklin,38.166666667,-84.878055556,KYTC,KYTC,037B00110N,01,3,2020-10-12,0.0,Good,No,State,2020s,State Secondary,N,N,N,4922.0,KY 420,CEDAR RUN,DOUBLE (15x10x81 FT) RC BOX CULVERT,"A Open, no restriction",,1 Highway,5 Waterway
District 08,Rockcastle,37.341944444,-84.307777778,KYTC,KYTC,102B00078N,01,3,2023-01-11,31478.0,Good,Yes,State,2020s,State Primary (Interst.),8,8,7,40386.0,I-75,US-25,65' - 111' - 65' 3 Span Type HN 48 49 PPC I-Beam,"A Open, no restriction",,1 Highway,1 Highway
District 04,Taylor,37.341944444,-85.338333333,City,KYTC,109C00075N,04,3,2020-04-10,760.0,Good,No,Local,2020s,,8,8,8,1356.0,South Jackson St.,Buckhorn Creek,1-38' P C Box beam span,"A Open, no restriction",,1 Highway,5 Waterway
District 08,Lincoln,37.528333333,-84.663055556,KYTC,KYTC,069B00101N,01,3,2023-09-20,2384.45,Good,No,State,2020s,Rural Secondary,8,7,8,2787.0,KY-1247,St. Asaph Creek,"50'-0"" PCCB TYPE SB21x48 - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 08,Casey,37.3755,-84.784916667,County,KYTC,023C00119N,02,3,2020-10-29,672.0,Fair,No,Local,2010s,,7,6,8,,Joe Patterson Road,Indian Creek,Single Span 38' Steel I Beam Bridge,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Hardin,37.634722222,-86.149722222,County,KYTC,047C00094N,02,3,2021-05-17,1848.0,Fair,No,Local,1980s,,8,6,8,35.0,Laurel Ridge Rd.,Linders Creek,1-77' PPC Box girder span,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Hickman,36.653255,-88.931466,KYTC,KYTC,053B00113N,01,3,2020-11-17,0.0,Good,No,State,2020s,Rural Secondary,N,N,N,72.0,KY 2208,Unknown,,"A Open, no restriction",,1 Highway,5 Waterway
District 12,Pike,37.592222222,-82.1725,County,CONTRACTOR,098C00200N,02,3,2021-05-18,672.0,Good,No,Local,2020s,,7,7,8,248.0,AIL Branch,Blackberry Creek,"54'-6"" PPC Box Beam, CB21, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 08,Casey,37.362777778,-84.758888889,KYTC,CONTRACTOR,023B00092N,01,3,2023-11-14,583.2,Good,No,State,2020s,Rural Secondary,8,7,8,274.0,KY-3270,Howe Branch,"22'-10"" Single Span CB12 PPC Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 01,Carlisle,36.84,-88.960277778,KYTC,CONTRACTOR,020B00071N,01,3,2023-11-15,1344.0,Good,No,State,2020s,Rural Secondary,7,8,8,525.0,KY 1377,Horn Creek,"54'-6"" CB21x48 PPC Box Beam - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Bell,36.869166667,-83.548055556,County,CONTRACTOR,007C00174N,02,3,2020-10-12,314.55,Good,No,Local,2020s,,8,7,8,100.0,CR 1041,York Branch,20.7' Concrete Slab - Simple Span,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Calloway,36.608333333,-88.478611111,County,CONTRACTOR,018C00162N,02,3,2020-12-22,703.2,Good,No,Local,2020s,,8,8,8,,Watson Road,Mayfield Creek,"29'-3"" CB17x48 PPC Box Beam - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
