TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Highway Improvement,District 08,Rockcastle,251112,08-22370.00,STP,,STP 1501(134),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10201502512,2025-08-21,893898.26,893898.26
Safety,District 06,Grant,254204,06-09025.00,,HSIP,HSIP 5169(010),HINKLE ENVIRONMENTAL SERVICES LLC,0604104672501,2025-08-21,3498645.3,3209519.99
Pavement Asset Management,District 12,Lawrence,252328,,,FD05,FD05 064 0001 000-004,BTI CONTRACTING INC DBA BLACKTOP INDUSTRIES,MP06400012501,2025-08-21,457278.1,457278.1
Rural Roads Projects,District 10,Wolfe,253107,,,CB06,CB06 119 1261 005-008,HINKLE CONTRACTING COMPANY LLC,1011912612501,2025-08-21,352576.57,331326.08
Bridge Asset Management,District 11,Harlan,255386,11-10018.00,"STP, BRZ",,STP BRZ 9030 (325),IRVINE CONTRACTING LIMITED LIABILITY COMPANY,BR04810412500,2025-08-21,2436560.21,2436560.21
Highway Improvement,District 10,Powell,251021,10-00174.00,,,PROT 6000(214),DELMAE LLC,DE09906132521,2025-08-21,928209.99,928209.99
Bridge Asset Management,District 02,Christian,251903,,,FE02,FE02 024 0064 B000132LR,ROGERS GROUP INC,MB02400242501,2025-08-21,26076729.21,732698.67
Highway Improvement,District 02,Christian,251903,02-20063.00,,NHPP,NHPP 0243(059),ROGERS GROUP INC,DE02400242501,2025-08-21,26076729.21,25344030.54
Safety,District 07,Mercer,254205,07-00990.00,,HSIP,HSIP 5129(017),MAGO CONSTRUCTION COMPANY LLC,0708401522501,2025-08-21,344827.62,344827.62
Rural Roads Projects,District 06,Gallatin,253098,,,CB06,CB06 039 0184 000-007,MAGO CONSTRUCTION COMPANY LLC,0603901842501,2025-08-21,277863.71,277863.71
Rural Roads Projects,District 07,Mercer,253097,,,CB06,CB06 084 1160 008-011,MAGO CONSTRUCTION COMPANY LLC,0708411602502,2025-08-21,288415.9,288415.9
Rural Roads Projects,District 06,Kenton,253106,,,CB06,CB06 059 0014 003-009,MAGO CONSTRUCTION COMPANY LLC,0605900142501,2025-08-21,557418.5,410611.54
Rural Roads Projects,District 06,Kenton,253106,,,CB06,CB06 059 0536 006-008,MAGO CONSTRUCTION COMPANY LLC,0605905362503,2025-08-21,557418.5,146806.96
Rural Roads Projects,District 08,Cumberland,253108,,,CB06,CB06 029 0449 005-007,GADDIE-SHAMROCK LLC,0802904492501,2025-08-21,368996.03,143139.03
Rural Roads Projects,District 08,Cumberland,253108,,,CB06,CB06 029 0704 000-002,GADDIE-SHAMROCK LLC,0802907042501,2025-08-21,368996.03,124581.35
Rural Roads Projects,District 08,Cumberland,253108,,,CB06,CB06 029 0496 000-001,GADDIE-SHAMROCK LLC,0802904962501,2025-08-21,368996.03,101275.65
Rural Roads Projects,District 04,Green,253100,,,CB06,CB06 044 1048 000-003,HAYDON MATERIALS LLC,0404410482501,2025-08-21,731654.87,336511.17
Rural Roads Projects,District 04,Green,253100,,,CB06,CB06 044 0569 008-010,HAYDON MATERIALS LLC,0404405692501,2025-08-21,731654.87,212307.13
Rural Roads Projects,District 04,Green,253100,,,CB06,CB06 044 0323 003-005,HAYDON MATERIALS LLC,0404403232501,2025-08-21,731654.87,182836.58
Rural Roads Projects,District 04,Marion,253101,,,CB06,CB06 078 0327 000-002,HAYDON MATERIALS LLC,0407803272501,2025-08-21,628774.49,224833.72
Rural Roads Projects,District 04,Marion,253101,,,CB06,CB06 078 0429 000-001,HAYDON MATERIALS LLC,0407804292501,2025-08-21,628774.49,122761.06
Rural Roads Projects,District 04,Marion,253101,,,CB06,CB06 078 0152 000-002,HAYDON MATERIALS LLC,0407801522501,2025-08-21,628774.49,281179.73
Rural Roads Projects,District 04,Taylor,253099,,,CB06,CB06 109 0659 003-004,HAYDON MATERIALS LLC,0410906592501,2025-08-21,578543.59,71608.88
Rural Roads Projects,District 04,Taylor,253099,,,CB06,CB06 109 0744 012-017,HAYDON MATERIALS LLC,0410907442501,2025-08-21,578543.59,506934.71
Rural Roads Projects,District 06,Boone,253102,,,CB06,CB06 008 0020 008-011,EATON ASPHALT PAVING CO INC,0600800202502,2025-08-21,600452.0,318321.76
Rural Roads Projects,District 06,Boone,253102,,,CB06,CB06 008 1292 002-005,EATON ASPHALT PAVING CO INC,0600812922501,2025-08-21,600452.0,282130.24
Rural Roads Projects,District 09,Fleming,253105,,,CB06,CB06 035 0156 002-006,H G MAYS CORPORATION,0903501562501,2025-08-21,786590.0,309360.87
Rural Roads Projects,District 09,Fleming,253105,,,CB06,CB06 035 0161 000-002,H G MAYS CORPORATION,0903501612501,2025-08-21,786590.0,164345.43
Rural Roads Projects,District 09,Fleming,253105,,,CB06,CB06 035 0697 000-003,H G MAYS CORPORATION,0903506972501,2025-08-21,786590.0,312883.69
Rural Roads Projects,District 06,Robertson,253103,,,CB06,CB06 101 3198 000-003,H G MAYS CORPORATION,0610131982501,2025-08-21,230310.0,145839.79
Rural Roads Projects,District 06,Robertson,253103,,,CB06,CB06 101 0875 000-001,H G MAYS CORPORATION,0610108752501,2025-08-21,230310.0,84470.21
Pavement Asset Management,District 01,Trigg,252331,,,FD05,FD05 111 068X 002-005,ROGERS GROUP INC,MP111068X2501,2025-08-21,681815.26,681815.26
Pavement Asset Management,District 04,Marion,252173,,,FD05,FD05 078 0049 033-035,HAYDON MATERIALS LLC,MP07800492501,2025-08-21,120295.49,120295.49
Pavement Asset Management,District 11,Laurel,252325,,,FD05,FD05 063 0363 003-007,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06303632503,2025-08-21,429831.1,429831.1
Pavement Asset Management,District 03,Barren,252185,,,FD05,FD05 005 1297 000-008,SCOTTY'S CONTRACTING & STONE LLC,MP00512972501,2025-08-21,932552.86,932552.86
Pavement Asset Management,District 03,Logan,252318,,,FD05,FD05 071 2376 004-008,SCOTTY'S CONTRACTING & STONE LLC,MP07123762501,2025-08-21,225696.07,225696.07
Pavement Asset Management,District 02,Muhlenberg,252314,,,FD05,FD05 089 0600 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP08906002501,2025-08-21,213090.93,213090.93
Pavement Asset Management,District 09,Greenup,252322,,,FD05,FD05 045 0010 000-004,MOUNTAIN ENTERPRISES INC,MP04500102501,2025-08-21,1315851.0,1315851.0
Pavement Asset Management,District 12,Johnson,252327,,,FD05,FD05 058 0825 000-002,MOUNTAIN ENTERPRISES INC,MP05808252501,2025-08-21,200130.13,200130.13
Pavement Asset Management,District 12,Letcher,252323,,,FD05,FD05 067 0931 001-006,MOUNTAIN ENTERPRISES INC,MP06709312503,2025-08-21,745276.0,745276.0
Pavement Asset Management,District 12,Pike,252333,,,FD05,FD05 098 1056 004-012,MOUNTAIN ENTERPRISES INC,MP09810562501,2025-08-21,972897.5,972897.5
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD05,FD05 068 0057 013-015,HINKLE ENVIRONMENTAL SERVICES LLC,MP06800572502,2025-08-21,1164959.0,443112.69
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD04,FD04 022 0060 000-001,HINKLE ENVIRONMENTAL SERVICES LLC,MP02200602501,2025-08-21,1164959.0,160026.15
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD04,FD04 068 0057 010-011,HINKLE ENVIRONMENTAL SERVICES LLC,MP06800572501,2025-08-21,1164959.0,212608.59
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD04,FD04 068 0008 000-002,HINKLE ENVIRONMENTAL SERVICES LLC,MP06800082501,2025-08-21,1164959.0,349211.57
Miscellaneous,District 11,Knox,252312,11-04309.00,,FD04,FD04 061 0229 005-006,N W K CONSTRUCTION INC,MP06102292501,2025-08-21,76050.09,76050.09
Pavement Asset Management,District 05,Franklin,252316,05-20070.00,,FD52,FD52 037 0127 011-012,BLUEGRASS CONTRACTING CORPORATION,MP03701272501,2025-08-21,2056071.0,736789.91
Pavement Asset Management,District 05,Franklin,252316,05-20071.00,,FD52,FD52 106 0055 007-013,BLUEGRASS CONTRACTING CORPORATION,MP10600552501,2025-08-21,2056071.0,1319281.1
Safety,District 07,Madison,254109,07-09040.00,,FD04,FD04 076 0052 016-019,THE ALLEN COMPANY INC,0707600522501,2025-08-21,1424433.67,1424433.67
Miscellaneous,District 08,McCreary,252335,08-04322.00,,FD04,FD04 074 0700 013-016,GEORGE B STONE CO LLC,MP07407002501,2025-08-21,348922.0,348922.0
Safety,District 02,Hancock,254108,02-09026.00,,FD04,FD04 046 0060 013-018,E & B PAVING LLC,0204600602501,2025-08-21,1608000.0,1608000.0
Highway Improvement,District 05,Shelby,251019,05-80004.00,,FD04,FD04 106 055X 001-002,LOUISVILLE PAVING COMPANY INC,DE10600552519,2025-08-21,1096531.0,1096531.0
Pavement Asset Management,District 04,Breckinridge,252320,,,FD05,FD05 014 1073 000-008,MAGO CONSTRUCTION COMPANY LLC,MP01410732501,2025-08-21,810775.0,431010.82
Pavement Asset Management,District 04,Breckinridge,252320,,,FD05,FD05 014 1385 000-005,MAGO CONSTRUCTION COMPANY LLC,MP01413852501,2025-08-21,810775.0,379764.18
Miscellaneous,District 12,Martin,252315,12-04450.00,,FD04,FD04 080 0292 007-023,N H STONE INC,MP08002922501,2025-08-21,231864.5,231864.5
Miscellaneous,District 11,Harlan,252330,11-04403.00,,FD04,FD04 048 0840 002-003,N H STONE INC,MP04808402501,2025-08-21,65061.0,19397.0
Miscellaneous,District 11,Harlan,252330,11-04402.00,,FD04,FD04 048 0072 000-002,N H STONE INC,MP04800722501,2025-08-21,65061.0,45664.02
Rural Roads Projects,District 03,Allen,253104,,,CB01,CB01 002 0585 003-008,SCOTTY'S CONTRACTING & STONE LLC,0300205852501,2025-08-21,838738.65,838738.65
Pavement Asset Management,District 02,McLean,252313,,,FD05,FD05 075 0797 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP07507972501,2025-08-21,379757.55,181782.74
Pavement Asset Management,District 02,McLean,252313,,,FD05,FD05 075 0796 000-002,SCOTTY'S CONTRACTING & STONE LLC,MP07507962501,2025-08-21,379757.55,197974.82
Pavement Asset Management,District 03,Logan,252321,,,FD05,FD05 114 3172 000-001,SCOTTY'S CONTRACTING & STONE LLC,MP11431722501,2025-08-21,322103.28,50805.77
Pavement Asset Management,District 03,Logan,252321,,,FD05,FD05 071 3172 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP07131722501,2025-08-21,322103.28,271297.51
Bridge Asset Management,District 05,Henry,252981,,,FE02,FE02 052 0573 B00043N,HALL CONTRACTING OF KENTUCKY INC,MB05205732501,2025-08-21,326000.0,326000.0
Bridge Asset Management,District 11,Jackson,252988,,,FE02,FE02 055 3630 B00034N,IRVINE CONTRACTING LIMITED LIABILITY COMPANY,MB05536302588,2025-08-21,648801.25,648801.25
Highway Improvement,District 02,Muhlenberg,251312,02-80100.00,STP,,STP 9031 (032),SCOTTY'S CONTRACTING & STONE LLC,DE08902462512,2025-07-24,2865924.82,2865924.82
Rural Roads Projects,District 03,Warren,253080,,,CB06,CB06 114 2665 000-006,SCOTTY'S CONTRACTING & STONE LLC,0311426652501,2025-07-24,1129547.33,1129547.33
Pavement Asset Management,District 06,Carroll,252296,,,FD05,FD05 021 0071 038-054,LOUISVILLE PAVING COMPANY INC,MP02100712501,2025-07-24,4644000.0,4644000.0
Pavement Asset Management,District 12,Lawrence,252307,,,FD05,FD05 064 0023 018-022,MOUNTAIN ENTERPRISES INC,MP06400232501,2025-07-24,3382618.83,2175235.6
Pavement Asset Management,District 12,Lawrence,252307,,,FD05,FD05 064 2565 000-003,MOUNTAIN ENTERPRISES INC,MP06425652501,2025-07-24,3382618.83,894507.49
Pavement Asset Management,District 12,Lawrence,252307,,,FD05,FD05 064 0032 021-024,MOUNTAIN ENTERPRISES INC,MP06400322501,2025-07-24,3382618.83,312875.73
Highway Improvement,District 11,Various,251016,11-00014.00,,NHPP,NHPP IM 0752 (104),L-M ASPHALT DBA ATS CONST J/V KAY & KAY CONTRACTING LLC,DE11800752516,2025-07-24,147559358.08,122401570.28
Highway Improvement,District 11,Various,251016,11-00014.00,,NHPP,NHPP IM 0752 (104),L-M ASPHALT DBA ATS CONST J/V KAY & KAY CONTRACTING LLC,DE06300752516,2025-07-24,147559358.08,25157787.82
Bridge Asset Management,District 08,Wayne,252950,,,FE02,FE02 116 0090 B00044N,EURO PAINT LLC,MB11600902502,2025-07-24,1276810.0,468386.9
Bridge Asset Management,District 08,Wayne,252950,,,FE02,FE02 116 0090 B00036N,EURO PAINT LLC,MB11600902501,2025-07-24,1276810.0,808423.1
Miscellaneous,District 09,Greenup,252308,09-04316.00,,FD04,FD04 045 0007 007-013,N H STONE INC,MP04500072501,2025-07-24,66220.0,66220.0
Pavement Asset Management,District 07,Bourbon,252257,07-05008.00,,FD04,FD04 009 0460 019-020,FREDERICK & MAY CONSTRUCTION CO,MP00904602501,2025-07-24,146004.0,146004.0
Miscellaneous,District 09,Greenup,252310,09-04314.00,,FD04,FD04 045 0827 004-005,GEORGE B STONE CO LLC,MP04508272501,2025-07-24,21216.75,21216.75
Miscellaneous,District 06,Kenton,252272,,,FE06,FE06 059 2045 000-001,GEORGE B STONE CO LLC,MP05920452501,2025-07-24,24994.0,24994.0
Safety,District 05,Jefferson,254710,,,,LBGT 056 0065 000-000,THE TRUESDELL CORPORATION,0505600652501,2025-07-24,359359.0,359359.0
Bridge Asset Management,District 08,Casey,252900,03-40002.00,,FE02,FE02 023 0070 B00003N,DELONG CONCRETE LLC,MB02300702501,2025-07-24,374838.82,216391.28
Bridge Asset Management,District 08,Casey,252900,03-40002.00,,FE02,FE02 023 0049 B00067N,DELONG CONCRETE LLC,MB02300492501,2025-07-24,374838.82,158447.54
Pavement Asset Management,District 07,Madison,252112,,,FD05,FD05 076 0025 016-021,THE ALLEN COMPANY INC,MP07600252501,2025-07-24,2941904.21,2941904.21
Pavement Asset Management,District 02,Ohio,252294,,,FD05,FD05 092 2671 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP09226712501,2025-07-24,234177.82,234177.82
Pavement Asset Management,District 03,Simpson,252183,,,FD05,FD05 107 031W 009-014,SCOTTY'S CONTRACTING & STONE LLC,MP107031W2501,2025-07-24,1041919.93,1041919.93
Pavement Asset Management,District 10,Perry,252279,,,FD05,FD05 097 0267 004-010,MOUNTAIN ENTERPRISES INC,MP09702672501,2025-07-24,537606.62,537606.62
Pavement Asset Management,District 10,Perry,252291,,,FD05,FD05 097 3349 000-003,MOUNTAIN ENTERPRISES INC,MP09733492501,2025-07-24,310044.25,310044.25
Pavement Asset Management,District 06,Robertson,252274,,,FD05,FD05 101 0165 012-017,H G MAYS CORPORATION,MP10101652501,2025-07-24,415940.0,415940.0
Pavement Asset Management,District 04,Taylor,252284,,,FD05,FD05 109 1625 000-001,HAYDON MATERIALS LLC,MP10916252501,2025-07-24,96026.61,96026.61
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 1803 005-006,HINKLE CONTRACTING COMPANY LLC,1106118032501,2025-07-24,1214407.67,125074.34
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 0225 003-006,HINKLE CONTRACTING COMPANY LLC,1106102252502,2025-07-24,1214407.67,442617.11
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 0930 003-004,HINKLE CONTRACTING COMPANY LLC,1106109302501,2025-07-24,1214407.67,183848.95
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 1304 006-009,HINKLE CONTRACTING COMPANY LLC,1106113042501,2025-07-24,1214407.67,462867.27
Rural Roads Projects,District 06,Carroll,253072,,,CB06,CB06 021 2984 000-004,HINKLE CONTRACTING COMPANY LLC,0602129842501,2025-07-24,316912.54,316912.54
Rural Roads Projects,District 07,Bourbon,253078,,,CB06,CB06 009 1893 000-005,HINKLE CONTRACTING COMPANY LLC,0700918932501,2025-07-24,530098.99,530098.99
Rural Roads Projects,District 05,Oldham,253090,,,CB06,CB06 093 0524 000-001,LOUISVILLE PAVING COMPANY INC,0509305242501,2025-07-24,499186.0,92063.79
Rural Roads Projects,District 05,Oldham,253090,,,CB06,CB06 093 0393 000-003,LOUISVILLE PAVING COMPANY INC,0509303932501,2025-07-24,499186.0,243526.88
Rural Roads Projects,District 05,Oldham,253090,,,CB06,CB06 093 3223 000-002,LOUISVILLE PAVING COMPANY INC,0509332232502,2025-07-24,499186.0,163595.32
Rural Roads Projects,District 08,Rockcastle,253085,,,CB06,CB06 102 1797 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,0810217972501,2025-07-24,556150.32,138496.33
Rural Roads Projects,District 08,Rockcastle,253085,,,CB06,CB06 102 3274 000-005,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,0810232742501,2025-07-24,556150.32,417653.99
Rural Roads Projects,District 06,Bracken,253088,,,CB06,CB06 012 0875 007-010,H G MAYS CORPORATION,0601208752502,2025-07-24,317747.0,222125.6
Rural Roads Projects,District 06,Bracken,253088,,,CB06,CB06 012 2370 004-006,H G MAYS CORPORATION,0601223702501,2025-07-24,317747.0,95621.4
Rural Roads Projects,District 03,Logan,253074,,,CB06,CB06 071 0663 004-008,SCOTTY'S CONTRACTING & STONE LLC,0307106632501,2025-07-24,742149.46,378265.19
Rural Roads Projects,District 03,Logan,253074,,,CB06,CB06 071 0722 001-005,SCOTTY'S CONTRACTING & STONE LLC,0307107222501,2025-07-24,742149.46,363884.27
Rural Roads Projects,District 03,Edmonson,253086,,,CB06,CB06 031 2336 000-002,SCOTTY'S CONTRACTING & STONE LLC,0303123362501,2025-07-24,576603.91,160572.42
Rural Roads Projects,District 03,Edmonson,253086,,,CB06,CB06 031 1075 000-005,SCOTTY'S CONTRACTING & STONE LLC,0303110752501,2025-07-24,576603.91,416031.48
Rural Roads Projects,District 03,Butler,253073,,,CB06,CB06 016 0340 000-003,SCOTTY'S CONTRACTING & STONE LLC,0301603402501,2025-07-24,680957.55,347547.39
Rural Roads Projects,District 03,Butler,253073,,,CB06,CB06 016 1153 004-008,SCOTTY'S CONTRACTING & STONE LLC,0301611532501,2025-07-24,680957.55,333410.16
Rural Roads Projects,District 03,Barren,253082,,,CB06,CB06 005 0839 000-007,SCOTTY'S CONTRACTING & STONE LLC,0300508392501,2025-07-24,998933.23,715735.98
Rural Roads Projects,District 03,Barren,253082,,,CB06,CB06 005 2131 000-002,SCOTTY'S CONTRACTING & STONE LLC,0300521312502,2025-07-24,998933.23,283197.24
Rural Roads Projects,District 03,Todd,253075,,,CB06,CB06 110 0507 001-009,SCOTTY'S CONTRACTING & STONE LLC,0311005072501,2025-07-24,642784.07,642784.07
Rural Roads Projects,District 03,Metcalfe,253079,,,CB06,CB06 085 0533 000-005,SCOTTY'S CONTRACTING & STONE LLC,0308505332502,2025-07-24,463931.63,463931.63
Rural Roads Projects,District 04,Larue,253081,,,CB06,CB06 062 0470 000-006,SCOTTY'S CONTRACTING & STONE LLC,0406204702502,2025-07-24,914933.47,914933.47
Rural Roads Projects,District 02,Christian,253093,,,CB06,CB06 024 0117 014-016,ROGERS GROUP INC,0202401172501,2025-07-24,1122711.82,189904.68
Rural Roads Projects,District 02,Christian,253093,,,CB06,CB06 024 1026 006-011,ROGERS GROUP INC,0202410262501,2025-07-24,1122711.82,477769.18
Rural Roads Projects,District 02,Christian,253093,,,CB06,CB06 024 1027 002-007,ROGERS GROUP INC,0202410272501,2025-07-24,1122711.82,455037.96
Rural Roads Projects,District 02,Caldwell,253091,,,CB06,CB06 017 1592 003-005,ROGERS GROUP INC,0201715922501,2025-07-24,400880.67,148254.76
Rural Roads Projects,District 02,Caldwell,253091,,,CB06,CB06 017 0672 008-011,ROGERS GROUP INC,0201706722501,2025-07-24,400880.67,252625.91
Pavement Asset Management,District 07,Fayette,252283,,,FD05,FD05 034 0027 006-009,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP03400272501,2025-07-24,692897.09,692897.09
Pavement Asset Management,District 11,Laurel,252287,,,FD05,FD05 063 1223 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06312232501,2025-07-24,181801.69,181801.69
Pavement Asset Management,District 07,Jessamine,252302,,,FD05,FD05 057 0068 010-013,LEXINGTON QUARRY COMPANY,MP05700682501,2025-07-24,915614.05,915614.05
Pavement Asset Management,District 07,Jessamine,252258,,,FD05,FD05 057 027X 000-003,LEXINGTON QUARRY COMPANY,MP057027X2501,2025-07-24,805050.0,805050.0
Pavement Asset Management,District 08,Lincoln,252297,,,FD05,FD05 069 0027 019-022,THE ALLEN COMPANY INC,MP06900272501,2025-07-24,537622.59,537622.59
Pavement Asset Management,District 11,Harlan,252293,,,FD05,FD05 048 0119 026-029,MOUNTAIN ENTERPRISES INC,MP04801192501,2025-07-24,527836.35,527836.35
Pavement Asset Management,District 05,Jefferson,252292,,,FD05,FD05 056 031W 020-023,MAC CONSTRUCTION & EXCAVATING INC,MP056031W2501,2025-07-24,1016985.31,1016985.31
Pavement Asset Management,District 06,Bracken,252289,,,FD05,FD05 012 0010 007-014,H G MAYS CORPORATION,MP01200102501,2025-07-24,607576.0,607576.0
Pavement Asset Management,District 06,Carroll,252303,,,FD05,FD05 021 0042 005-008,HINKLE CONTRACTING COMPANY LLC,MP02100422502,2025-07-24,303359.84,303359.84
Pavement Asset Management,District 02,Various,252295,,,FD05,FD05 030 0334 000-002,HINKLE CONTRACTING COMPANY LLC,MP03003342501,2025-07-24,212910.81,212910.81
Pavement Asset Management,District 02,Various,252300,,,FD05,FD05 030 1514 000-007,HINKLE CONTRACTING COMPANY LLC,MP03015142501,2025-07-24,586216.0,586216.0
Pavement Asset Management,District 02,Hancock,252305,,,FD05,FD05 046 0060 002-010,HINKLE CONTRACTING COMPANY LLC,MP04600602502,2025-07-24,745987.25,745987.25
Pavement Asset Management,District 02,Hancock,252301,,,FD05,FD05 046 0334 011-016,HINKLE CONTRACTING COMPANY LLC,MP04603342501,2025-07-24,394934.75,394934.75
Pavement Asset Management,District 02,Various,252306,,,FD05,FD05 030 2155 001-004,HINKLE CONTRACTING COMPANY LLC,MP03021552501,2025-07-24,385268.0,385268.0
Rural Roads Projects,District 04,Nelson,253094,,,CB06,CB06 090 0247 000-008,MAGO CONSTRUCTION COMPANY LLC,0409002472501,2025-07-24,850265.0,850265.0
Rural Roads Projects,District 08,Wayne,253083,,,CB06,CB06 116 0167 013-021,MAGO CONSTRUCTION COMPANY LLC,0811601672501,2025-07-24,644361.54,644361.54
Rural Roads Projects,District 05,Bullitt,253095,,,CB06,CB06 015 1442 000-007,MAGO CONSTRUCTION COMPANY LLC,0501514422501,2025-07-24,681141.25,416469.85
Rural Roads Projects,District 05,Bullitt,253095,,,CB06,CB06 015 1604 000-004,MAGO CONSTRUCTION COMPANY LLC,0501516042501,2025-07-24,681141.25,264671.4
Rural Roads Projects,District 06,Grant,253076,,,CB06,CB06 041 0491 005-009,MAGO CONSTRUCTION COMPANY LLC,0604104912502,2025-07-24,473791.36,276439.95
Rural Roads Projects,District 06,Grant,253076,,,CB06,CB06 041 1995 003-007,MAGO CONSTRUCTION COMPANY LLC,0604119952501,2025-07-24,473791.36,197351.41
Rural Roads Projects,District 06,Pendleton,253089,,,CB06,CB06 096 3184 000-005,MAGO CONSTRUCTION COMPANY LLC,0609631842501,2025-07-24,621260.52,309479.43
Rural Roads Projects,District 06,Pendleton,253089,,,CB06,CB06 096 0010 007-008,MAGO CONSTRUCTION COMPANY LLC,0609600102502,2025-07-24,621260.52,158940.32
Rural Roads Projects,District 06,Pendleton,253089,,,CB06,CB06 096 0010 007-008,MAGO CONSTRUCTION COMPANY LLC,0609606092501,2025-07-24,621260.52,152840.77
Pavement Asset Management,District 06,Kenton,252273,,,FD05,FD05 059 1930 000-002,MAGO CONSTRUCTION COMPANY LLC,MP05919302501,2025-07-24,119992.14,119992.14
Pavement Asset Management,District 07,Mercer,252170,,,FD05,FD05 084 127B 000-005,MAGO CONSTRUCTION COMPANY LLC,MP084127B2501,2025-07-24,2984327.63,2984327.63
Bridge Asset Management,District 06,Bracken,255383,06-10031.00,"STP, BRZ",,STP BRZ 9030 (501),FREDERICK & MAY CONSTRUCTION CO,BR01205392500,2025-07-24,1554094.0,1554094.0
Highway Improvement,District 12,Knott,251014,12-00162.00,,EK57,EK57 060 1442 000-001,FREDERICK & MAY CONSTRUCTION CO,DE06014422514,2025-07-24,7472773.04,7472773.04
Pavement Asset Management,District 06,Owen,252290,,,FD05,FD05 094 0127 0014-015,MAGO CONSTRUCTION COMPANY LLC,MP09401272501,2025-07-24,97522.37,97522.37
Rural Roads Projects,District 05,Jefferson,253096,,,CB06,CB06 056 1230 000-003,LIBS PAVING COMPANY INC,0505612302501,2025-07-24,299863.0,299863.0
Pavement Asset Management,District 05,Shelby,252113,,,FD05,FD05 106 0421 000-001,LIBS PAVING COMPANY INC,MP10604212501,2025-07-24,1197576.1,121511.93
Pavement Asset Management,District 05,Shelby,252113,,,FD05,FD05 052 0022 000-008,LIBS PAVING COMPANY INC,MP05200222501,2025-07-24,1197576.1,750927.63
Pavement Asset Management,District 05,Shelby,252113,,,FD05,FD05 052 00421 010-014,LIBS PAVING COMPANY INC,MP05204212501,2025-07-24,1197576.1,325136.54
