TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Pavement Asset Management,District 11,Various,252235,,,FD05,FD05 118 0312 001-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11803122501,2025-06-26,849575.5,199464.52
Pavement Asset Management,District 11,Laurel,252231,,,FD05,FD05 063 3007 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06330072501,2025-05-22,1295610.87,127889.65
Pavement Asset Management,District 11,Laurel,252231,,,FD05,FD05 063 0363 000-004,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06303632501,2025-05-22,1295610.87,460218.19
Pavement Asset Management,District 11,Laurel,252231,,,FD05,FD05 063 0363 009-012,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06303632502,2025-05-22,1295610.87,368034.84
Pavement Asset Management,District 11,Laurel,252231,,,FD05,FD05 063 3009 000-001,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06330092501,2025-05-22,1295610.87,58681.1
Pavement Asset Management,District 11,Laurel,252231,,,FD05,FD05 063 2392 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06323922501,2025-05-22,1295610.87,280787.11
Rural Roads Projects,District 11,Whitley,253035,,,CB06,CB06 118 2996 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111829962501,2025-05-22,1297426.6,317301.68
Rural Roads Projects,District 11,Whitley,253035,,,CB06,CB06 118 0779 001-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111807792501,2025-05-22,1297426.6,270256.56
Rural Roads Projects,District 11,Whitley,253035,,,CB06,CB06 118 3423 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111834232501,2025-05-22,1297426.6,388577.8
Rural Roads Projects,District 11,Whitley,253035,,,CB06,CB06 118 1064 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111810642501,2025-05-22,1297426.6,321290.55
Pavement Asset Management,District 11,Letcher,252240,,,FD51,FD51 067 1862 000-010,NATTCO INC,MP067186225W1,2025-05-22,1114494.5,584512.79
Pavement Asset Management,District 11,Letcher,252240,,,FD51,FD51 067 3402 000-002,NATTCO INC,MP067340225W1,2025-05-22,1114494.5,354424.75
Pavement Asset Management,District 11,Letcher,252240,,,FD51,FD51 067 3410 000-001,NATTCO INC,MP067341025W1,2025-05-22,1114494.5,175556.98
Miscellaneous,District 11,Laurel,252246,,,FE06,FE06 063 0229 006-007,GEORGE B STONE CO LLC,MP06302292501,2025-05-22,42451.5,42451.5
Rural Roads Projects,District 11,Harlan,253025,,,CB06,CB06 048 1254 000-002,MOUNTAIN ENTERPRISES INC,1104812542501,2025-04-24,1066499.72,232865.15
Rural Roads Projects,District 11,Harlan,253025,,,CB06,CB06 048 0072 000-005,MOUNTAIN ENTERPRISES INC,011048007201,2025-04-24,1066499.72,655782.3
Rural Roads Projects,District 11,Harlan,253025,,,CB06,CB06 048 3459 000-001,MOUNTAIN ENTERPRISES INC,1104834592501,2025-04-24,1066499.72,177852.27
Rural Roads Projects,District 11,Jackson,253026,,,CB06,CB06 055 0089 000-002,THE ALLEN COMPANY INC,1105500892501,2025-04-24,464369.43,160938.79
Rural Roads Projects,District 11,Jackson,253026,,,CB06,CB06 055 1209 001-004,THE ALLEN COMPANY INC,1105512092501,2025-04-24,464369.43,303430.64
Rural Roads Projects,District 11,Laurel,253027,,,CB06,CB06 063 0552 003-009,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106305522501,2025-04-24,978845.53,775563.2
Rural Roads Projects,District 11,Laurel,253027,,,CB06,CB06 063 2041 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106320412501,2025-04-24,978845.53,203282.33
Pavement Asset Management,District 11,Jackson,252141,,,FD05,FD05 055 0421 000-004,THE ALLEN COMPANY INC,MP05504212501,2025-04-24,630295.75,630295.75
Miscellaneous,District 11,Clay,252200,11-04374.00,,FD04,FD04 026 0011 005-006,GEORGE B STONE CO LLC,MP02600112501,2025-04-24,86456.25,86456.25
Bridge Asset Management,District 11,Clay,252985,11-00000.00,,FE02,FE02 026 0687 B00086N,KAY & KAY CONTRACTING LLC,MB02606872501,2025-04-24,825462.77,825462.77
Bridge Asset Management,District 11,Clay,255380,11-01099.00,"STP, BRZ",,STP BRZ 9030 (497),KAY & KAY CONTRACTING LLC,BR02611602500,2025-04-24,216487.49,216487.49
Safety,District 11,Various,254703,11-09029.00,,HSIP,HSIP 9010(715),THE TRUESDELL CORPORATION,1111807272501,2025-03-20,144144.0,90805.09
Safety,District 11,Various,254703,10-00943.00,,HSIP,HSIP 9010(713),THE TRUESDELL CORPORATION,1006500522501,2025-03-20,144144.0,53338.91
Pavement Asset Management,District 11,Knott,252143,,,FD51,FD51 060 0721 000-007,HINKLE ENVIRONMENTAL SERVICES LLC,MP06007212501,2025-03-20,1137238.5,543138.21
Pavement Asset Management,District 11,Knott,252143,,,FD51,FD51 060 1102 000-003,HINKLE ENVIRONMENTAL SERVICES LLC,MP06011022501,2025-03-20,1137238.5,594100.29
Pavement Asset Management,District 11,Clay,252125,,,FD05,FD05 026 0472 005-009,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02604722501,2025-03-20,1159361.93,352458.95
Pavement Asset Management,District 11,Clay,252125,,,FD05,FD05 026 0421 024-029,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02604212501,2025-03-20,1159361.93,806902.98
Pavement Asset Management,District 11,Whitley,252076,,,FD05,FD05 118 025W 000-004,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP118025W2502,2025-02-20,1143497.03,610900.21
Pavement Asset Management,District 11,Whitley,252076,,,FD05,FD05 118 025W 003-007,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP118025W2501,2025-02-20,1143497.03,532596.82
Pavement Asset Management,District 11,Laurel,252067,,,FD05,FD05 063 0192 000-004,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06301922501,2025-02-20,723506.01,723506.01
Pavement Asset Management,District 11,Leslie,252035,,,FD05,FD05 066 0118 000-004,MOUNTAIN ENTERPRISES INC,MP06601182501,2025-01-23,1140154.2,879522.64
Pavement Asset Management,District 11,Leslie,252035,,,FD05,FD05 066 0421 021-023,MOUNTAIN ENTERPRISES INC,MP06604212501,2025-01-23,1140154.2,260631.58
Pavement Asset Management,District 11,Whitley,252056,,,FD05,FD05 118 1193 000-005,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11811932401,2025-01-23,665154.94,665154.94
Rural Roads Projects,District 11,Knox,253002,,,CB06,CB06 061 0459 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106104592501,2025-01-23,1101540.62,448433.36
Rural Roads Projects,District 11,Knox,253002,,,CB06,CB06 061 0225 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106102252501,2025-01-23,1101540.62,312725.04
Rural Roads Projects,District 11,Knox,253002,,,CB06,CB06 061 1809 005-006,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106118092501,2025-01-23,1101540.62,87782.65
Rural Roads Projects,District 11,Knox,253002,,,CB06,CB06 061 2417 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106124172501,2025-01-23,1101540.62,252599.57
Pavement Asset Management,District 11,Clay,252039,,,FD05,FD05 026 0066 020-028,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02600662501,2025-01-23,605897.75,605897.75
Miscellaneous,District 11,Various,252011,,,FE01,FE01 121 DW25 000011,REYNOLDS-CENTRAL SEAL A JOINT VENTURE,MP12100002511,2025-01-23,2680000.0,2680000.01
Pavement Asset Management,District 11,Laurel,252025,11-22197.00,,,NHPM 9006(006),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06390062501,2025-01-23,482453.8,482453.8
Pavement Asset Management,District 11,Bell,252040,,,FD05,FD05 007 025E 014-019,STRAWSER CONSTRUCTION INC,MP007025E2501,2025-01-23,1262757.17,1262757.17
Pavement Asset Management,District 11,Clay,242399,,,FD05,FD05 026 0421 017-019,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02604212402,2024-12-12,327940.23,327940.23
Pavement Asset Management,District 11,Leslie,242417,,,FD05,FD05 066 6272 000-001,MOUNTAIN ENTERPRISES INC,MP06662722401,2024-12-12,130885.0,54887.45
Pavement Asset Management,District 11,Leslie,242417,,,FD05,FD05 066 6274 000-001,MOUNTAIN ENTERPRISES INC,MP06662742401,2024-12-12,130885.0,35608.76
Pavement Asset Management,District 11,Leslie,242417,,,FD05,FD05 066 6275 000-001,MOUNTAIN ENTERPRISES INC,MP06662752401,2024-12-12,130885.0,40388.79
Pavement Asset Management,District 11,Clay,242425,,,FD05,FD05 026 0011 014-020,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02600112402,2024-12-12,752922.86,752922.86
Rural Roads Projects,District 11,Bell,243128,,,CB06,CB06 007 1599 000-001,HINKLE CONTRACTING COMPANY LLC,1100715992501,2024-12-12,827263.49,123803.08
Rural Roads Projects,District 11,Bell,243128,,,CB06,CB06 007 0188 000-003,HINKLE CONTRACTING COMPANY LLC,1100701882501,2024-12-12,827263.49,265145.91
Rural Roads Projects,District 11,Bell,243128,,,CB06,CB06 007 3483 000-001,HINKLE CONTRACTING COMPANY LLC,1100734832501,2024-12-12,827263.49,102398.63
Rural Roads Projects,District 11,Bell,243128,,,CB06,CB06 007 1344 003-006,HINKLE CONTRACTING COMPANY LLC,1100713442501,2024-12-12,827263.49,335915.87
Pavement Asset Management,District 11,Leslie,242418,,,FD05,FD05 066 1850 001-005,MOUNTAIN ENTERPRISES INC,MP06618502402,2024-12-12,520775.18,520775.18
Pavement Asset Management,District 11,Leslie,242424,,,FD05,FD05 066 0080 000-006,MOUNTAIN ENTERPRISES INC,MP06600802401,2024-12-12,910718.84,910718.84
Rural Roads Projects,District 11,Clay,243114,,,CB06,CB06 026 1524 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1102615242501,2024-11-14,938585.5,181724.45
Rural Roads Projects,District 11,Clay,243114,,,CB06,CB06 026 3477 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1102634772501,2024-11-14,938585.5,222600.2
Rural Roads Projects,District 11,Clay,243114,,,CB06,CB06 026 1482 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1102614822501,2024-11-14,938585.5,278963.89
Rural Roads Projects,District 11,Clay,243114,,,CB06,CB06 026 0638 006-009,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1102606382501,2024-11-14,938585.5,255296.96
Bridge Asset Management,District 11,Harlan,245366,11-10196.00,"STP, BRZ",,STP BRZ 9030 (484),KAY & KAY CONTRACTING LLC,BR04800722401,2024-10-24,1553751.49,1553751.49
Pavement Asset Management,District 11,Laurel,242322,,,FD05,FD05 063 1769 000-001,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06317692401,2024-10-24,130754.26,130754.26
Pavement Asset Management,District 11,Laurel,242347,,,FD05,FD05 063 0363 006-010,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06303632402,2024-10-24,444453.19,444453.19
Highway Improvement,District 11,Harlan,241317,,,FD51,FD51 048 0522 011-012,BOCA ENTERPRISES INC,DE04805222417,2024-10-24,739654.04,739654.04
Safety,District 11,Laurel,244106,11-09013.00,,HSIP,HSIP 9010(329),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1106308302401,2024-09-26,329979.08,329979.08
Miscellaneous,District 11,Harlan,242299,11-04344.00,,FD04,FD04 048 0522 009-012,N H STONE INC,MP04805222402,2024-08-22,1532762.75,333637.0
Miscellaneous,District 11,Harlan,242299,11-04323.00,,FD04,FD04 048 3449 000-002,N H STONE INC,MP04834492401,2024-08-22,1532762.75,436080.3
Miscellaneous,District 11,Harlan,242299,11-04343.00,,FD04,FD04 048 0522 005-009,N H STONE INC,MP04805222401,2024-08-22,1532762.75,345748.32
Miscellaneous,District 11,Harlan,242299,11-04353.00,,FD04,FD04 048 2007 000-002,N H STONE INC,MP04820072401,2024-08-22,1532762.75,199415.64
Miscellaneous,District 11,Harlan,242299,11-04354.00,,FD04,FD04 048 0840 004-006,N H STONE INC,MP04808402401,2024-08-22,1532762.75,70319.7
Miscellaneous,District 11,Harlan,242299,11-04332.00,,FD04,FD04 048 1601 001-002,N H STONE INC,MP04816012401,2024-08-22,1532762.75,147561.82
Highway Improvement,District 11,Laurel,241011,11-00365.00,,NHPP,NHPP 0804 (022),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE06390062411,2024-08-22,20977517.0,20977517.0
Pavement Asset Management,District 11,Leslie,242226,,,FD05,FD05 066 1850 000-002,MOUNTAIN ENTERPRISES INC,MP06618502401,2024-07-18,195247.16,195247.16
Pavement Asset Management,District 11,Bell,242271,,,FD05,FD05 007 0221 007-013,HINKLE CONTRACTING COMPANY LLC,MP00702212401,2024-07-18,857355.87,857355.87
Pavement Asset Management,District 11,Whitley,242227,,,FD05,FD05 118 0895 000-001,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11808952401,2024-07-18,270727.62,119700.01
Pavement Asset Management,District 11,Whitley,242227,,,FD05,FD05 118 1277 001-004,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11812772401,2024-07-18,270727.62,151027.61
Rural Roads Projects,District 11,Leslie,243024,,,CB06,CB06 066 2009 002-004,MOUNTAIN ENTERPRISES INC,1106620092401,2024-06-20,1000107.87,100526.05
Rural Roads Projects,District 11,Leslie,243024,,,CB06,CB06 066 2009 005-007,MOUNTAIN ENTERPRISES INC,1106620092402,2024-06-20,1000107.87,113898.38
Rural Roads Projects,District 11,Leslie,243024,,,CB06,CB06 066 2057 001-004,MOUNTAIN ENTERPRISES INC,1106620572401,2024-06-20,1000107.87,198131.84
Rural Roads Projects,District 11,Leslie,243024,,,CB06,CB06 066 3427 004-006,MOUNTAIN ENTERPRISES INC,1106634272401,2024-06-20,1000107.87,214236.77
Rural Roads Projects,District 11,Leslie,243024,,,CB06,CB06-066-1780-000-002,MOUNTAIN ENTERPRISES INC,1106617802401,2024-06-20,1000107.87,196684.44
Rural Roads Projects,District 11,Leslie,243024,,,CB06,CB06-066-2008-004-007,MOUNTAIN ENTERPRISES INC,1106620082401,2024-06-20,1000107.87,176630.39
Rural Roads Projects,District 11,Knox,243025,,,CB06,CB06 061 3153 000-001,HINKLE CONTRACTING COMPANY LLC,1106131532301,2024-06-20,1089401.7,71503.26
Rural Roads Projects,District 11,Knox,243025,,,CB06,CB06 061 0718 000-005,HINKLE CONTRACTING COMPANY LLC,1106107182301,2024-06-20,1089401.7,569768.99
Rural Roads Projects,District 11,Knox,243025,,,CB06,CB06 061 1530 001-003,HINKLE CONTRACTING COMPANY LLC,1106115302301,2024-06-20,1089401.7,182595.5
Rural Roads Projects,District 11,Knox,243025,,,CB06,CB06 061 0930 001-003,HINKLE CONTRACTING COMPANY LLC,1106109302301,2024-06-20,1089401.7,265533.95
Pavement Asset Management,District 11,Whitley,242108,,,FD05,FD05 118 0727 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11807272401,2024-06-20,419218.58,419218.58
Bridge Asset Management,District 11,Clay,242960,,,FE02,FE02 026 9006 B00072N,EVERS STEEL CONSTRUCTION LLC,MB02690062401,2024-06-20,438582.0,438582.0
Pavement Asset Management,District 11,Bell,242239,,,FD05,FD05 007 0190 019-022,HINKLE CONTRACTING COMPANY LLC,MP00701902401,2024-06-20,247243.67,247243.67
Pavement Asset Management,District 11,Bell,242179,,,FD05,FD05 007 0441 004-005,HINKLE CONTRACTING COMPANY LLC,MP00704412401,2024-05-23,198488.17,198488.17
Pavement Asset Management,District 11,Whitley,242192,,,FD05,FD05 118 0092 024-027,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP118092E2401,2024-05-23,330652.36,330652.36
Miscellaneous,District 11,Whitley,242178,11-04313.00,,FD04,FD04 118 0727 000-003,GEORGE B STONE CO LLC,MP11807792401,2024-05-23,494020.5,367907.44
Miscellaneous,District 11,Whitley,242178,11-04336.00,,FD04,FD04 118 0727 000-003,GEORGE B STONE CO LLC,MP11807272402,2024-05-23,494020.5,126113.06
Miscellaneous,District 11,Knox,242183,11-04355.00,,FD04,FD04 061 0011 019-021,GEORGE B STONE CO LLC,MP06100112401,2024-05-23,288545.5,115300.43
Miscellaneous,District 11,Knox,242183,11-04345.00,,FD04,FD04 061 2418 000-001,GEORGE B STONE CO LLC,MP06124182401,2024-05-23,288545.5,65406.71
Miscellaneous,District 11,Knox,242183,11-04356.00,,FD04,FD04 061 0011 021-023,GEORGE B STONE CO LLC,MP06100112402,2024-05-23,288545.5,41395.23
Miscellaneous,District 11,Knox,242183,11-04333.00,,FD04,FD04 061 0011 022-023,GEORGE B STONE CO LLC,MP06100112403,2024-05-23,288545.5,66443.12
Bridge Asset Management,District 11,Knox,245350,11-10200.00,"STP, BRZ",,STP BRZ 9030 (465),IRVINE CONTRACTING LIMITED LIABILITY COMPANY,BR06102252400,2024-05-23,546813.34,546813.34
Pavement Asset Management,District 11,Harlan,242162,,,FD05,FD05 048 0038 026-030,MOUNTAIN ENTERPRISES INC,MP04600382401,2024-04-25,413272.01,413272.01
Pavement Asset Management,District 11,Bell,242134,,,FD05,FD05 007 0066 006-012,HINKLE CONTRACTING COMPANY LLC,MP00700662401,2024-04-25,848713.67,848713.67
Pavement Asset Management,District 11,Harlan,242051,,,FD05,FD05 048 0160 005-012,MOUNTAIN ENTERPRISES INC,MP04801602401,2024-04-25,1363100.42,1363100.42
Pavement Asset Management,District 11,Clay,242111,,,FD05,FD05 026 0873 000-001,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02608732401,2024-04-25,143116.16,143116.16
Pavement Asset Management,District 11,Clay,242113,,,FD05,FD05 026 0011 008-015,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02600112401,2024-04-25,814644.31,814644.31
Pavement Asset Management,District 11,Leslie,242096,,,FD05,FD05 066 0421 028-036,MOUNTAIN ENTERPRISES INC,MP06604212401,2024-04-25,1134769.44,1134769.44
Rural Roads Projects,District 11,Leslie,243021,,,CB06,CB06 066 3426 000-002,MOUNTAIN ENTERPRISES INC,110634262304,2024-04-25,685904.3,146690.1
Rural Roads Projects,District 11,Leslie,243021,,,CB06,CB06 066 0406 011-014,MOUNTAIN ENTERPRISES INC,1106604062301,2024-04-25,685904.3,336147.59
Rural Roads Projects,District 11,Leslie,243021,,,CB06,CB06 066 2009 008-010,MOUNTAIN ENTERPRISES INC,1106620092303,2024-04-25,685904.3,89718.94
Rural Roads Projects,District 11,Leslie,243021,,,CB06,CB06 066 2008 000-002,MOUNTAIN ENTERPRISES INC,1106620082302,2024-04-25,685904.3,113347.67
