DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 07,Clark,37.981022789,-84.07222633,KYTC,KYTC,025B00058R,01,3,2022-05-04,5600.0,Fair,Yes,State,1960s,State Primary (Parkway),6,6,6,7346.0,MOUNTAIN PKY CARD,STONER- EPHESUS ROAD,160 FT TWIN 3-50 FT R.C.D.G. SPANS - 15 DEG SKEW,"A Open, no restriction",,1 Highway,1 Highway
District 07,Clark,37.941538015,-84.011176981,KYTC,KYTC,025B00059L,01,3,2022-05-04,5648.0,Fair,Yes,State,1960s,State Primary (Parkway),6,5,6,7346.0,MOUNTAIN PKY NC,UPPER HOWARDS CREEK,160 FT TWIN 3-50 FT R.C.D.G. SPANS - 30 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.004019787,-85.020703888,County,KYTC,003C00061N,02,3,2024-03-08,5640.0,Fair,No,Local,2000s,,6,6,6,,ANDERSON CITY ROAD,SALT RIVER,235 FT 77-79-77   FT. PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Clark,37.941346637,-84.011215188,KYTC,KYTC,025B00059R,01,3,2022-05-04,5600.0,Fair,Yes,State,1960s,State Primary (Parkway),6,5,6,7346.0,KY-9000,UPPER HOWARDS CREEK,160 FT TWIN 3-50 FT R.C.D.G. SPANS - 30 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Clark,38.056574605,-84.048077682,KYTC,KYTC,025B00060N,01,3,2025-08-13,7394.0,Fair,No,State,1950s,,7,6,5,115.0,WADES MILL RD,I-64,48.33 FT- 67.67 FT- 67.67 FT- 48.33 FT R.C. CONT. UNIT,P Posted for load,34.0,1 Highway,1 Highway
District 07,Clark,37.945537373,-84.192293226,KYTC,KYTC,025B00061N,01,3,2022-05-31,663.0,Poor,No,State,1970s,Rural Secondary,7,7,4,277.0,KY-1923,TWO MILE CREEK,1-26 FT P.C.P.S SLAB BEAM-15 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Clark,38.013584141,-84.211163332,KYTC,KYTC,025B00063N,01,3,2017-04-27,1265.4,Fair,No,State,1960s,,N,N,N,804.0,KY 2888,STRODES CREEK,34 FT DOUBLE 12 X 7 X 278 R/C CULVERT-72RCP -10 FT FILL,P Posted for load,22.0,1 Highway,5 Waterway
District 07,Scott,38.3503,-84.637916667,County,KYTC,105C00120N,02,3,2021-07-27,816.0,Good,No,Local,2020s,,7,7,8,,GAINES RD.,LYTLES FORK,34' Single span multiple PSPC box beam,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Clark,37.938744594,-84.151821765,KYTC,KYTC,025B00031N,01,3,2022-05-03,2179.0,Fair,No,State,Over 75,Rural Secondary,6,5,5,423.0,KY-974,FOUR MILE CREEK,2-35 FT R.C.D.G. SPAN - 45 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Clark,37.933991795,-84.161085584,KYTC,KYTC,025B00032N,01,3,2017-05-04,420.0,Fair,No,State,Over 75,Rural Secondary,N,N,N,423.0,KY-974,BR OF FOURMILE CREEK,DOUBLE 10 X 6 X 32 RC CULVERT -2 FT FILL,P Posted for load,,1 Highway,5 Waterway
District 07,Clark,37.919582837,-84.164196379,KYTC,KYTC,025B00033N,01,3,2022-05-03,4332.0,Fair,No,State,Over 75,Rural Secondary,5,5,6,423.0,KY-974,FOUR MILE CREEK,4-35 FT R.C.D.G. SPANS - 45 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Clark,37.918450316,-84.273382121,KYTC,KYTC,025B00041N,01,3,2022-05-04,3380.0,Fair,No,State,1950s,State Secondary,6,6,6,675.0,KY-418,LOWER HOWARDS CREEK,130 FT 3-40 FT R.C.D.G. SPANS - 0 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Clark,38.066093933,-84.115665009,KYTC,KYTC,025B00042N,01,3,2022-05-04,4992.0,Fair,No,State,1950s,Rural Secondary,6,5,5,702.0,KY-1961,STONER CREEK,4-43.5 FT R.C.D.G. SPANS - 45 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Clark,38.066942367,-84.114430675,KYTC,CONTRACTOR,025B00043N,01,3,2019-06-25,399.0,Fair,No,State,1950s,Rural Secondary,N,N,N,702.0,KY-1961,BRANCH OF STONER CREEK,DOUBLE 10 X 6 X 28 RC CULVERT -3 FT FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,37.965778601,-85.114643811,County,KYTC,003C00059N,02,3,2024-03-08,3488.0,Fair,No,Local,1990s,,7,6,7,48.0,ASHBY ROAD,WILLOW CREEK,109 FT 35-40-35 FT PRESTRESSED CONC BOX  BEAM SPANS,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Clark,38.005276574,-84.137236453,KYTC,KYTC,025B00044N,01,3,2025-08-08,7128.0,Fair,No,State,1960s,Rural Secondary,5,7,5,1358.0,KY-1960,MOUNTAIN PARKWAY,47 FT- 61 FT- 61 FT- 47 FT CONT. R.C.D.G. SPANS - 19 DE,"A Open, no restriction",,1 Highway,1 Highway
District 07,Clark,38.010048068,-84.102575754,KYTC,KYTC,025B00045N,01,3,2017-04-27,609.0,Good,No,State,1960s,Rural Secondary,N,N,N,731.0,KY-1960,LITTLE STONER CREEK,DOUBLE 14 X 12 X 31 RC CULVERT -2 FT FILL,P Posted for load,22.0,1 Highway,5 Waterway
District 07,Clark,38.00919839,-84.072909202,KYTC,KYTC,025B00046N,01,3,2022-05-04,3255.0,Fair,No,State,1960s,Rural Secondary,5,7,5,731.0,KY-1960,BIG STONER CREEK,3-35 FT R.C.D.G. SPANS - 15 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Clark,38.044827664,-84.068528395,KYTC,KYTC,025B00049L,01,3,2024-03-13,9983.0,Fair,Yes,State,1950s,State Primary (Interst.),7,6,6,12764.0,I-64 NC,STONER CREEK,TWIN 80 FT- 104 FT- 80 FT R.C.D.G. - 30 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Clark,38.044779198,-84.068198263,KYTC,KYTC,025B00049R,01,3,2024-03-13,9983.0,Fair,Yes,State,1950s,State Primary (Interst.),7,6,6,12764.0,I-64,STONER CREEK,TWIN 80 FT- 104 FT- 80 FT R.C.D.G. - 30 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.944166,-84.494646,KYTC,KYTC,057B00034N,01,3,2019-11-08,4983.0,Good,No,State,2010s,State Secondary,7,7,7,6084.0,East Brannon Rd.,Black Helen Gulch,151' Single span pci beam,"A Open, no restriction",,5 Highway-pedestrian,5 Waterway
District 07,Scott,38.335802523,-84.6137816,County,KYTC,105C00071N,02,3,2024-08-22,1348.0,Fair,No,Local,1990s,,7,7,6,208.0,SKINNERSBURG RD,LYTLES FORK,1-55' PRESTRESSED CONCRETE BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Scott,38.334627789,-84.467904007,County,KYTC,105C00072N,02,3,2023-11-29,1200.0,Fair,No,Local,1990s,,7,6,7,,BARKLEY RD,EAST EAGLE CREEK,1-50' PRESTRESSED CONCRETE BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Scott,38.339493188,-84.509498629,County,KYTC,105C00073N,02,3,2023-11-29,960.0,Good,No,Local,1990s,,7,7,7,326.0,DAVIS-TURKEY FOOT,WEST FORK EAGLE CREEK,1-40 FT PRESTRESSED CONCRETE BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Scott,38.275958714,-84.52097481,County,KYTC,105C00074N,02,3,2023-11-29,732.0,Good,No,Local,1990s,,7,7,7,574.0,ANDERSON RD,BR-LANES RUN,1-30' PRETRESSED BOX BEAM SPAN,P Posted for load,34.0,1 Highway,5 Waterway
District 07,Scott,38.310356619,-84.49934507,County,KYTC,105C00076N,02,3,2023-11-29,846.0,Good,No,Local,1990s,,7,8,7,74.0,GUNNELL RD,MUDDY FORK CREEK,1-33FT PRESTRESSED CONCRETE BOX BEAM SPAN,P Posted for load,38.0,1 Highway,5 Waterway
District 07,Scott,38.299803251,-84.627937303,County,KYTC,105C00077N,02,3,2023-11-29,960.0,Good,No,Local,1990s,,7,7,7,188.0,GLASS PIKE,MCCONNELL RUN,1-40 FT PRESTEESSED CONCRETE BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Scott,38.27104795,-84.519979644,City,KYTC,105C00078N,04,3,2025-03-03,571.0,Poor,No,Local,1990s,,8,7,4,1751.0,DELEPLAIN RD,LANES RUN,1- 21 FT PRESTRESSED CONC BOX BEAM SPAN,B Posting Recommended,35.0,1 Highway,5 Waterway
District 07,Madison,37.834185,-84.420969,KYTC,KYTC,076B00120N,01,3,2024-02-05,1049.51,Good,No,State,2010s,State Secondary,8,7,8,333.0,KY-169,LONG BRANCH,51.67' Single span prestressed box beam bridge,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Scott,38.272412,-84.706032,KYTC,KYTC,105B00153N,01,3,2023-09-25,1778.0,Good,No,State,2010s,Rural Secondary,8,7,8,138.0,KY 1689,LECOMPTES RUN,71.08' PCI Beam Concrete Bridge,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.002264196,-85.060191788,KYTC,KYTC,003B00043N,01,3,2025-05-08,5016.0,Fair,No,State,1980s,Rural Secondary,6,6,7,132.0,KY-53,SALT RIVER,75-75-55 CONT. P.C.I.B. SPANS -TYPE 3,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Fayette,37.974277,-84.499542,County,KYTC,034C00086N,02,3,2024-04-26,2016.09,Good,No,Local,2010s,,8,7,8,10130.0,Wilson Downing Rd,West Hickman creek,39.25' Single span multiple box beam bridge,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Fayette,38.074576,-84.495195,KYTC,KYTC,034B00180N,01,3,2022-12-29,34713.0,Good,Yes,State,2010s,State Primary (Other),8,7,7,39271.0,KY-922,NEW CIRCLE ROAD,2 - 129' PC I-Beam Spans,"A Open, no restriction",,1 Highway,1 Highway
District 07,Mercer,37.746168,-84.703768,KYTC,CONTRACTOR,084B00055N,01,3,2019-06-24,34994.79,Good,No,State,2010s,State Secondary,8,8,8,2211.0,KY-152,Herrington Lake,350' x 350' x 121.5' WSPC and HN72 49 Hybrid PCIB,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.927859989,-84.54988329,KYTC,KYTC,057B00001N,01,3,2020-04-02,1937.27,Fair,Yes,State,Over 75,State Primary (Other),N,N,N,35153.0,US-27,MARSHALL BRANCH,DBL 10X5X139 RC CLVT -14 FT FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.885863967,-84.6040765,KYTC,KYTC,057B00006N,01,3,2017-08-01,862.5,Fair,No,State,Over 75,State Secondary,N,N,N,11973.0,WILMORE ROAD,JESSAMINE CREEK,DB 12X10X36 RC CLVT -3 FT FILL,P Posted for load,,1 Highway,5 Waterway
District 07,Jessamine,37.889702073,-84.532697984,KYTC,KYTC,057B00008N,01,3,2017-08-01,587.5,Good,No,State,Over 75,State Secondary,N,N,N,5353.0,KY-169,BR OFF HICKMAN CREEK,DBL 12X6X29 RC CLVT -3 FT FILL,P Posted for load,,1 Highway,5 Waterway
District 07,Jessamine,37.892051759,-84.51440906,KYTC,KYTC,057B00009N,01,3,2022-07-05,4437.0,Fair,No,State,Over 75,State Secondary,6,6,8,4254.0,KY-169,HICKMAN CREEK @UNION MIL,4-35 FT R.C.D.G. SPANS,P Posted for load,,1 Highway,5 Waterway
District 07,Jessamine,37.874293993,-84.454455394,KYTC,KYTC,057B00010N,01,3,2017-08-01,865.2,Fair,No,State,Over 75,State Secondary,N,N,N,1400.0,KY-169,MARBLE CREEK,DBL 14X10X34 RC CLVT -5 FT FILL,P Posted for load,,1 Highway,5 Waterway
District 07,Jessamine,37.918845198,-84.601816398,KYTC,KYTC,057B00011N,01,3,2021-10-20,575.0,Good,No,State,Over 75,State Secondary,N,N,N,10513.0,KY-169,JESSAMINE CREEK,DBL 12X8X29 RC CLVT -3 FT FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.846437229,-84.508889552,KYTC,KYTC,057B00012N,01,3,2022-10-31,4977.0,Fair,No,State,1960s,Rural Secondary,6,5,6,1238.0,KY-1541,HICKMAN CREEK,50 FT- 80 FT- 50 FT R.C.D.G. CONT. SPANS - 45 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Jessamine,37.770357066,-84.614057039,KYTC,CONTRACTOR,057B00018N,01,3,1901-01-01,8760.0,Fair,Yes,State,1970s,State Primary (Other),N,N,N,20858.0,US-27,OLD US 27,24X16X292 RC RIGID FRAME CLVT -FILL=52,"A Open, no restriction",,1 Highway,1 Highway
District 07,Jessamine,37.934407215,-84.50217449,KYTC,KYTC,057B00019N,01,3,2022-05-31,3180.0,Fair,No,State,1970s,Rural Secondary,7,6,7,989.0,KY-1980,WEST HICKMAN CREEK,2-50 FT P.P.C. BOX BEAMS TYPE I-30 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.773856067,-84.569586322,KYTC,KYTC,057B00021N,01,3,2016-08-04,1302.0,Fair,No,State,1980s,Rural Secondary,N,N,N,278.0,KY-1268,LITTLE HICKMAN CREEK,DBL 15X5X128 RC CLVT -5FT FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.923732115,-84.537616567,County,KYTC,057C00001N,02,3,2023-01-23,735.0,Fair,No,Local,1970s,,7,7,6,1665.0,VINCE ROAD,MARSHALL BRANCH,30 FT SINGLE SPAN PRESTRESSED CONCRETE SLAB,P Posted for load,26.0,1 Highway,5 Waterway
District 07,Jessamine,37.92034656,-84.526425208,County,KYTC,057C00005N,02,3,2016-05-05,739.5,Fair,No,Local,1950s,,N,N,N,146.0,MARSHALL BRANCH RO,EAST HICKMAN CREEK,TRPL 14X6X28 RC CLVT -3 FT FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.864380949,-84.57289778,City,KYTC,057C00007N,04,3,2016-08-04,1131.9,Fair,No,Local,1970s,,N,N,N,3570.0,LONGVIEW DRIVE,TOWN FORK,36 FT QUAD 8X4X44(APPROX) RC CLVT -NO FILL-2 BIT SURF,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.764070162,-84.575822765,County,KYTC,057C00014N,02,3,2016-08-04,416.0,Fair,No,Local,Over 75,,N,N,N,93.0,LOCK EIGHT ROAD,LITTLE HICKMAN CREEK,32 FT DBL 16X5X29 CONC&STONE CLVT -3 FT FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.908903041,-84.65673093,County,KYTC,057C00026N,02,3,2022-12-13,1080.0,Fair,No,Local,1970s,,6,7,6,781.0,CLEAR CREEK ROAD,EAST FK. CLEAR CR.,1-40 FT PRECAST PREST. SLAB BOX BEAM SPAN (TYPE 2)-15 D,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.819584941,-84.515247002,County,KYTC,057C00028N,02,3,2025-01-14,3948.0,Fair,No,Local,1950s,,5,6,7,98.0,JOHN WATTS ROAD,HICKMAN CREEK,48 - 48 - 48 FT R.C.D.G. SPANS,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.816410107,-84.538085697,County,KYTC,057C00029N,02,3,2022-08-03,2916.0,Fair,No,Local,1980s,,6,5,6,124.0,ELM FORK ROAD,HICKMAN CR,29.5-59.5-29.5 INDIANA TYPE PC DECK UNITS,P Posted for load,18.0,1 Highway,5 Waterway
District 07,Jessamine,37.859355676,-84.630834632,County,KYTC,057C00030N,02,3,2024-07-11,2430.0,Fair,No,Local,1980s,,6,7,6,509.0,FRANKFORT FORD ROA,JESSAMINE CREEK,36-40-36 SIMPLE PC BOX BEAMS,P Posted for load,37.0,1 Highway,5 Waterway
District 07,Jessamine,37.863975811,-84.508754215,County,KYTC,057C00031N,02,3,2024-03-11,3003.0,Good,No,Local,1980s,,7,7,7,202.0,BETHANY ROAD,HICKMAN CREEK,47.5-46-47.5 SIMPLE PPC DECK UNIT SPANS,P Posted for load,19.0,1 Highway,5 Waterway
District 07,Jessamine,37.944350508,-84.666562243,County,KYTC,057C00032N,02,3,2024-04-11,1525.0,Fair,No,Local,1980s,,6,7,6,358.0,CLEAR CREEK ROAD,CLEAR CREEK,1-50 PPCDU,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.8510286,-84.579626792,City,KYTC,057C00042N,04,3,2024-07-09,3465.0,Fair,No,Local,1990s,,5,6,5,305.0,SOUTHBROOK DRIVE,TOWN FORK,1-60  FT.PRESTRESSED CONC BOX BEAM SPAN,P Posted for load,24.0,1 Highway,5 Waterway
District 07,Jessamine,37.772738824,-84.570228767,County,KYTC,057C00043N,02,3,2024-03-14,960.0,Good,No,Local,1990s,,7,7,7,249.0,SUGAR CREEK PIKE,LITTLE HICKMAN CREEK,1-41  FT.PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.969289564,-84.568764777,County,KYTC,057C00044N,02,3,2024-05-13,944.0,Fair,No,Local,1990s,,7,6,7,203.0,BRANWOOD DRIVE,BRANCH-SOUTH ELKHORN,1-26  FT.PRESTRESSED CONC BOX BEAM SPAN,P Posted for load,34.0,1 Highway,5 Waterway
District 07,Jessamine,37.914584845,-84.503527691,County,KYTC,057C00045N,02,3,2024-07-09,1312.0,Fair,No,Local,1990s,,6,7,8,305.0,BEAUMONT ROAD,WEST HICKMAN CREEK,1 - 54 FT. PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.905757259,-84.499181418,County,KYTC,057C00047N,02,3,2024-09-18,2623.0,Fair,No,Local,1990s,,6,7,5,133.0,MACKEY PIKE,EAST HICKMAN CREEK,23- 69- 23 FT. PRESTRESSED CONC BOX BEAM SPANS,P Posted for load,36.0,1 Highway,5 Waterway
District 07,Jessamine,37.861606213,-84.703429751,County,CONTRACTOR,057C00048N,02,3,2021-09-23,3164.0,Fair,No,Local,1990s,,N,N,N,61.0,BROOKLYN ROAD,SHANTY HILL CREEK,SINGLE 22 X 15 X 157 CONC BOX CULVERT -13 SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Jessamine,37.88604226,-84.576027936,OTHER,KYTC,057R00603N,27,3,2016-09-19,2430.0,Poor,No,Local,Over 75,,4,5,4,8021.0,KY-169,NS (CNO&amp;TP) SYSTEM,22.5 - 37.5 - 22.5 FT CONT RCDG ,P Posted for load,,1 Highway,2 Railroad
District 07,Bourbon,38.256981,-84.195119,County,KYTC,009C00087N,02,3,2017-05-04,0.0,Fair,No,Local,Over 100,,N,N,N,6026.0,US-68C Access Road,Flat Run Creek,26.5 FT DBL 8X8X54 RC CLVT - 1 FT FILL,P Posted for load,,1 Highway,5 Waterway
District 07,Garrard,37.652653,-84.53778,KYTC,KYTC,040B00044N,01,3,2024-02-05,1620.0,Good,No,State,2010s,Rural Secondary,8,7,8,123.0,KY-563,Sugar Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Madison,37.7525,-84.330277778,County,KYTC,076C00101N,02,3,2020-07-20,690.0,Good,No,Local,2010s,,N,N,N,989.0,Cardinal Drive,Irvine Lick,30ft segmented box culvert,P Posted for load,25.0,1 Highway,5 Waterway
District 07,Bourbon,38.263207197,-84.212241446,County,KYTC,009C00062N,02,3,2024-05-13,619.0,Fair,No,Local,1980s,,7,5,7,408.0,REDMON ROAD,FLAT RUN,1-30.5 FT SIDE BY SIDE PRECAST BOX BEAMS SPAN,P Posted for load,27.0,1 Highway,5 Waterway
District 07,Mercer,37.723201364,-84.861320545,KYTC,KYTC,084B00020N,01,3,2021-10-20,940.0,Good,No,State,1960s,Rural Secondary,N,N,N,214.0,KY-598,DRY BRANCH,DBL 14X4X32 RC CLVT -NO FILL,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Mercer,37.867849182,-85.00284836,KYTC,KYTC,084B00021N,01,3,2022-07-07,1415.0,Fair,No,State,Over 75,Rural Secondary,5,7,7,43.0,KY-926,THOMPSON CREEK,1-54 FT R.C.D.G. SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Mercer,37.799751676,-84.992855862,KYTC,KYTC,084B00028N,01,3,2022-07-07,4675.0,Fair,No,State,1950s,Rural Secondary,5,5,6,225.0,CORNISHVILLE STREE,CHAPLIN RIVER,159 FT 3-50 FT R.C.D.G. SPANS ,P Posted for load,,1 Highway,5 Waterway
District 07,Mercer,37.811958118,-84.985674953,KYTC,KYTC,084B00029N,01,3,2022-07-07,5386.0,Fair,No,State,1950s,Rural Secondary,6,6,7,31.0,KY-1941,CHAPLIN RIVER,"4-45 FT R.C.D.G. SPANS - 45 DEG SKEW - CONC. FLOOR, PIE","A Open, no restriction",,1 Highway,5 Waterway
District 07,Mercer,37.91634873,-84.862982408,KYTC,KYTC,084B00031N,01,3,2022-05-31,653.0,Fair,No,State,1970s,Rural Secondary,6,5,5,585.0,KY-1987,LEADBALL BRANCH,1-24 FT PPC SLAB BEAM TYPE I-30 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 07,Bourbon,38.151990146,-84.027208156,County,KYTC,009C00063N,02,3,2024-05-14,807.0,Poor,No,Local,1990s,,5,7,4,81.0,PLUM LICK ROAD,PLUM LICK CREEK,1-46 FT PREST CONC DECK UNIT,P Posted for load,34.0,1 Highway,5 Waterway
District 07,Bourbon,38.278723984,-84.384281618,County,KYTC,009C00075N,02,3,2024-05-16,870.0,Fair,No,Local,1990s,,6,6,6,359.0,SILAS ROAD,SILAS CREEK,1-36 FT SIDE BY SIDE PRESTRESSED PC CONC BOX BEAMS SPAN,P Posted for load,30.0,1 Highway,5 Waterway
