"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS"
"District 11","Bell","11-80400.00","US","25","US-25","PLANNING-OKI(O)","1.7","18.651","Corridor study of US25E through Bell & Knox to determine locations for the installation of RCUTs (approximately 43 miles of roadway). (2026CCN)","","2026","2026","P","SPP","350000","2029","","",""
"District 11","Bell","11-80419.00","US","25","US-25","CONGESTION MITIGTN(O)","1.7","2.8","Improve safety and reduce congestion on US 25E from KY 74 to KY 441 (MP 1.70 to 2.80) (2026CCN)","","2026","2026","U","SPP","1000000","2029","","",""
"District 11","Bell","11-80419.00","US","25","US-25","CONGESTION MITIGTN(O)","1.7","2.8","Improve safety and reduce congestion on US 25E from KY 74 to KY 441 (MP 1.70 to 2.80) (2026CCN)","","2026","2026","C","SPP","12000000","2030","","",""
"District 11","Bell","11-80419.00","US","25","US-25","CONGESTION MITIGTN(O)","1.7","2.8","Improve safety and reduce congestion on US 25E from KY 74 to KY 441 (MP 1.70 to 2.80) (2026CCN)","","2026","2026","R","SPP","1000000","2029","","",""
"District 11","Bell","11-80419.00","US","25","US-25","CONGESTION MITIGTN(O)","1.7","2.8","Improve safety and reduce congestion on US 25E from KY 74 to KY 441 (MP 1.70 to 2.80) (2026CCN)","","2026","2026","D","SPP","750000","2029","","",""
"District 11","Bell","11-80420.00","KY","441","KY-441","SPOT IMPROVEMENTS(O)","4.25","4.3","Improvement of existing KY 441/KY 2402 intersection (MP 4.25) (2026CCN)","","2026","2026","C","SPP","4000000","2031","","",""
"District 11","Bell","11-80420.00","KY","441","KY-441","SPOT IMPROVEMENTS(O)","4.25","4.3","Improvement of existing KY 441/KY 2402 intersection (MP 4.25) (2026CCN)","","2026","2026","R","SPP","500000","2029","","",""
"District 11","Bell","11-80420.00","KY","441","KY-441","SPOT IMPROVEMENTS(O)","4.25","4.3","Improvement of existing KY 441/KY 2402 intersection (MP 4.25) (2026CCN)","","2026","2026","U","SPP","300000","2030","","",""
"District 11","Bell","11-80420.00","KY","441","KY-441","SPOT IMPROVEMENTS(O)","4.25","4.3","Improvement of existing KY 441/KY 2402 intersection (MP 4.25) (2026CCN)","","2026","2026","D","SPP","500000","2029","","",""
"District 11","Bell","11-80421.00","US","25","US-25","SAFETY(P)","10.18","10.28","Improve safety at existing Bell County School Bus Garage, construct turn lane and acceleration lane on US 25E (MP 10.18 to 10.28 (2026CCN)","","2026","2026","C","CRP","150000","2028","","",""
"District 11","Clay","11-08003.10","US","421","US-421","RECONSTRUCTION(O)","14.3","15.4","IMPROVE US 421 FROM GOOSE CREEK BRIDGE (MP 15.4) TO CHOP BOTTOM RD (MP 14.3) INCLUDING RECONSTRUCTION OF HIGHWAY/RAIL GRADE CROSSING ON KY-1999 AT THE INTERSECTION WITH US-421 AND KY-80 (2022CCN) (2024CCR)","","2022","2026","C","CRP","14000000","2027","","",""
"District 11","Clay","11-08861.00","KY","638","KY-638","SAFETY(P)","6.7","7.1","IMPROVE SAFETY AND SIGHT DISTANCE ALONG KY 638 (MP 6.7 TO MP 7.1) AND ITS INTERSECTION WITH KY 3476. (14CCN)(18CCN)  (2020CCR)","","2014","2026","C","SPP","1560000","2032","","",""
"District 11","Clay","11-08861.00","KY","638","KY-638","SAFETY(P)","6.7","7.1","IMPROVE SAFETY AND SIGHT DISTANCE ALONG KY 638 (MP 6.7 TO MP 7.1) AND ITS INTERSECTION WITH KY 3476. (14CCN)(18CCN)  (2020CCR)","","2014","2026","R","SPP","160000","2030","","",""
"District 11","Clay","11-08861.00","KY","638","KY-638","SAFETY(P)","6.7","7.1","IMPROVE SAFETY AND SIGHT DISTANCE ALONG KY 638 (MP 6.7 TO MP 7.1) AND ITS INTERSECTION WITH KY 3476. (14CCN)(18CCN)  (2020CCR)","","2014","2026","D","SPP","80000","2029","","",""
"District 11","Clay","11-08861.00","KY","638","KY-638","SAFETY(P)","6.7","7.1","IMPROVE SAFETY AND SIGHT DISTANCE ALONG KY 638 (MP 6.7 TO MP 7.1) AND ITS INTERSECTION WITH KY 3476. (14CCN)(18CCN)  (2020CCR)","","2014","2026","U","SPP","340000","2031","","",""
"District 11","Clay","11-08864.00","CR","1286","CR-1286","SAFETY(P)","0.0","3.067","IMPROVE GEOMETRICS ALONG URBAN CREEK ROAD (CR 1286) AND, INCLUDING INTERSECTIONS AT HAL ROGERS PARKWAY AND KY 687. (14CCN)(18CCN)  (2020CCR)","","2014","2026","C","SPP","12950000","2026","","",""
"District 11","Clay","11-08910.00","HR","9006","HR-9006","MAJOR WIDENING(O)","10.593","21.498","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM CLAY/LAUREL LINE TO MANCHESTER (JUST PAST EXIT 20 AT BRIDGE OVER KY 80/US 421), MP 10.593 TO MP 21.498 (SEGMENT 7). (16CCN)(18CCN) (2020CCR) (2024CCR) (2026CCR)","","2016","2026","D","NH","1000000","2029","","",""
"District 11","Clay","11-08910.00","HR","9006","HR-9006","MAJOR WIDENING(O)","10.593","21.498","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM CLAY/LAUREL LINE TO MANCHESTER (JUST PAST EXIT 20 AT BRIDGE OVER KY 80/US 421), MP 10.593 TO MP 21.498 (SEGMENT 7). (16CCN)(18CCN) (2020CCR) (2024CCR) (2026CCR)","","2016","2026","U","SPP","11000000","2029","","",""
"District 11","Clay","11-08910.00","HR","9006","HR-9006","MAJOR WIDENING(O)","10.593","21.498","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM CLAY/LAUREL LINE TO MANCHESTER (JUST PAST EXIT 20 AT BRIDGE OVER KY 80/US 421), MP 10.593 TO MP 21.498 (SEGMENT 7). (16CCN)(18CCN) (2020CCR) (2024CCR) (2026CCR)","","2016","2026","R","SPP","15000000","2029","","",""
"District 11","Clay","11-08910.00","HR","9006","HR-9006","MAJOR WIDENING(O)","10.593","21.498","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM CLAY/LAUREL LINE TO MANCHESTER (JUST PAST EXIT 20 AT BRIDGE OVER KY 80/US 421), MP 10.593 TO MP 21.498 (SEGMENT 7). (16CCN)(18CCN) (2020CCR) (2024CCR) (2026CCR)","","2016","2026","C","SPP","98000000","2030","","",""
"District 11","Clay","11-08911.00","HR","9006","HR-9006","MAJOR WIDENING(O)","21.498","35.929","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM MANCHESTER TO CLAY/LESLIE LINE; MP 21.498 TO MP 35.929 (SEGMENT 8) (16CCN)(18CCN) (2024CCR)","","2016","2026","D","NH","1000000","2029","","",""
"District 11","Clay","11-08911.00","HR","9006","HR-9006","MAJOR WIDENING(O)","21.498","35.929","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM MANCHESTER TO CLAY/LESLIE LINE; MP 21.498 TO MP 35.929 (SEGMENT 8) (16CCN)(18CCN) (2024CCR)","","2016","2026","R","SPP","18000000","2031","","",""
"District 11","Clay","11-08911.00","HR","9006","HR-9006","MAJOR WIDENING(O)","21.498","35.929","UPGRADE ROUTE FROM SOMERSET TO HAZARD TO INTERSTATE STANDARDS: 4 LANE FROM MANCHESTER TO CLAY/LESLIE LINE; MP 21.498 TO MP 35.929 (SEGMENT 8) (16CCN)(18CCN) (2024CCR)","","2016","2026","U","SPP","5000000","2032","","",""
"District 11","Clay","11-10176.00","US","421","US-421","AM-BRIDGE (P)","4.162","4.168","BRIDGE PROJECT IN CLAY COUNTY ON (026B00012N) US-421 AT RICE BRANCH","026B00012N","2022","2026","R","BRX","10000","2028","","",""
"District 11","Clay","11-10176.00","US","421","US-421","AM-BRIDGE (P)","4.162","4.168","BRIDGE PROJECT IN CLAY COUNTY ON (026B00012N) US-421 AT RICE BRANCH","026B00012N","2022","2026","U","BRX","10000","2028","","",""
"District 11","Clay","11-10176.00","US","421","US-421","AM-BRIDGE (P)","4.162","4.168","BRIDGE PROJECT IN CLAY COUNTY ON (026B00012N) US-421 AT RICE BRANCH","026B00012N","2022","2026","C","BRX","717551","2028","","",""
"District 11","Clay","11-10178.00","KY","66","KY-66","AM-BRIDGE (P)","20.996","21.002","BRIDGE PROJECT IN CLAY COUNTY ON (026B00050N) KY-66 AT JACKS CREEK","026B00050N","2022","2026","C","BRX","1074388","2028","","",""
"District 11","Clay","11-10178.00","KY","66","KY-66","AM-BRIDGE (P)","20.996","21.002","BRIDGE PROJECT IN CLAY COUNTY ON (026B00050N) KY-66 AT JACKS CREEK","026B00050N","2022","2026","U","BRX","10000","2028","","",""
"District 11","Clay","11-10178.00","KY","66","KY-66","AM-BRIDGE (P)","20.996","21.002","BRIDGE PROJECT IN CLAY COUNTY ON (026B00050N) KY-66 AT JACKS CREEK","026B00050N","2022","2026","R","BRX","10000","2028","","",""
"District 11","Clay","11-10179.00","KY","2438","KY-2438","AM-BRIDGE (P)","0.011","0.065","BRIDGE PROJECT IN CLAY COUNTY ON (026B00057N) KY-2438 AT GOOSE CREEK & WALK PATH","026B00057N","2022","2026","D","BRX","1213977","2031","","",""
"District 11","Clay","11-10180.00","KY","1482","KY-1482","AM-BRIDGE (P)","8.5","8.506","BRIDGE PROJECT IN CLAY COUNTY ON (026B00060N) KY-1482 AT LITTLE BULLSKIN CREEK (2026CCR)","026B00060N","2022","2026","D","BRX","121086","2032","","",""
"District 11","Clay","11-10180.00","KY","1482","KY-1482","AM-BRIDGE (P)","8.5","8.506","BRIDGE PROJECT IN CLAY COUNTY ON (026B00060N) KY-1482 AT LITTLE BULLSKIN CREEK (2026CCR)","026B00060N","2022","2026","C","BRX","807242","2032","","",""
"District 11","Clay","11-10181.00","HR","9006","HR-9006","AM-BRIDGE (P)","21.651","21.745","BRIDGE PROJECT IN CLAY COUNTY ON (026B00073N) HR-9006 AT CSX RR-HAM BR RD-GOOSE C","026B00073N","2022","2026","D","BRO","1534312","2032","","",""
"District 11","Clay","11-10183.00","KY","3478","KY-3478","AM-BRIDGE (P)","4.1","4.112","BRIDGE PROJECT IN CLAY COUNTY ON (026B00102N) KY-3478 AT ROBINSON CREEK","026B00102N","2022","2026","C","FBP","1197806","2032","","",""
"District 11","Clay","11-10183.00","KY","3478","KY-3478","AM-BRIDGE (P)","4.1","4.112","BRIDGE PROJECT IN CLAY COUNTY ON (026B00102N) KY-3478 AT ROBINSON CREEK","026B00102N","2022","2026","D","FBP","179671","2032","","",""
"District 11","Clay","11-10184.00","CR","1114","CR-1114","AM-BRIDGE (P)","0.038","0.052","BRIDGE PROJECT IN CLAY COUNTY ON (026C00016N) FRANK BOWLING ROAD AT REDBIRD RIVER","026C00016N","2022","2026","U","FBP","10000","2031","","",""
"District 11","Clay","11-10184.00","CR","1114","CR-1114","AM-BRIDGE (P)","0.038","0.052","BRIDGE PROJECT IN CLAY COUNTY ON (026C00016N) FRANK BOWLING ROAD AT REDBIRD RIVER","026C00016N","2022","2026","C","FBP","1045350","2031","","",""
"District 11","Clay","11-10184.00","CR","1114","CR-1114","AM-BRIDGE (P)","0.038","0.052","BRIDGE PROJECT IN CLAY COUNTY ON (026C00016N) FRANK BOWLING ROAD AT REDBIRD RIVER","026C00016N","2022","2026","R","FBP","10000","2031","","",""
"District 11","Clay","11-10185.00","CR","1155","CR-1155","AM-BRIDGE (P)","0.004","0.012","BRIDGE PROJECT IN CLAY COUNTY ON (026C00072N) CR-1155 AT MILL CREEK (2026CCR)","026C00072N","2022","2026","C","FBP","410400","2027","","",""
"District 11","Clay","11-10185.00","CR","1155","CR-1155","AM-BRIDGE (P)","0.004","0.012","BRIDGE PROJECT IN CLAY COUNTY ON (026C00072N) CR-1155 AT MILL CREEK (2026CCR)","026C00072N","2022","2026","R","FBP","5000","2027","","",""
"District 11","Clay","11-10185.00","CR","1155","CR-1155","AM-BRIDGE (P)","0.004","0.012","BRIDGE PROJECT IN CLAY COUNTY ON (026C00072N) CR-1155 AT MILL CREEK (2026CCR)","026C00072N","2022","2026","U","FBP","10000","2027","","",""
"District 11","Clay","11-10186.00","CR","1150","CR-1150","AM-BRIDGE (P)","0.049","0.073","BRIDGE PROJECT IN CLAY COUNTY ON (026C00125N) CR-1150 AT RED BIRD","026C00125N","2022","2026","C","FBP","630000","2027","","",""
"District 11","Clay","11-20042.00","HR","9006","HR-9006","AM-PAVEMENT (PKY)(P)","27.785","35.929","ADDRESS CONDITION OF Hal Rogers Daniel Boone Parkway FROM MILEPOINT 27.785 TO MILEPOINT 35.929","","2026","2026","D","STP","180000","2029","","",""
"District 11","Clay","11-20042.00","HR","9006","HR-9006","AM-PAVEMENT (PKY)(P)","27.785","35.929","ADDRESS CONDITION OF Hal Rogers Daniel Boone Parkway FROM MILEPOINT 27.785 TO MILEPOINT 35.929","","2026","2026","C","STP","1780000","2030","","",""
"District 11","Clay","11-80251.00","US","421","US-421","NEW ROUTE(O)","17.4","17.7","CONSTRUCT NEW CONNECTOR ROAD BETWEEN US 421 AT MP 17.51 TO RAILROAD AVE. AT MP 0.1. THIS WILL REQUIRE APPROXIMATELY 300' OF NEW ROADWAY ALONG THE CONNECTOR, A 450' 3-LANE BRIDGE, NEW RIGHT TURN LANE ON US 421 AND NEW TRAFFIC SIGNALS AT PROPOSED INTERSECTI","","2022","2026","R","SPP","410000","2028","","",""
"District 11","Clay","11-80251.00","US","421","US-421","NEW ROUTE(O)","17.4","17.7","CONSTRUCT NEW CONNECTOR ROAD BETWEEN US 421 AT MP 17.51 TO RAILROAD AVE. AT MP 0.1. THIS WILL REQUIRE APPROXIMATELY 300' OF NEW ROADWAY ALONG THE CONNECTOR, A 450' 3-LANE BRIDGE, NEW RIGHT TURN LANE ON US 421 AND NEW TRAFFIC SIGNALS AT PROPOSED INTERSECTI","","2022","2026","C","SPP","3830000","2029","","",""
"District 11","Clay","11-80251.00","US","421","US-421","NEW ROUTE(O)","17.4","17.7","CONSTRUCT NEW CONNECTOR ROAD BETWEEN US 421 AT MP 17.51 TO RAILROAD AVE. AT MP 0.1. THIS WILL REQUIRE APPROXIMATELY 300' OF NEW ROADWAY ALONG THE CONNECTOR, A 450' 3-LANE BRIDGE, NEW RIGHT TURN LANE ON US 421 AND NEW TRAFFIC SIGNALS AT PROPOSED INTERSECTI","","2022","2026","U","SPP","390000","2028","","",""
"District 11","Clay","11-80251.00","US","421","US-421","NEW ROUTE(O)","17.4","17.7","CONSTRUCT NEW CONNECTOR ROAD BETWEEN US 421 AT MP 17.51 TO RAILROAD AVE. AT MP 0.1. THIS WILL REQUIRE APPROXIMATELY 300' OF NEW ROADWAY ALONG THE CONNECTOR, A 450' 3-LANE BRIDGE, NEW RIGHT TURN LANE ON US 421 AND NEW TRAFFIC SIGNALS AT PROPOSED INTERSECTI","","2022","2026","D","SPP","400000","2027","","",""
"District 11","Clay","11-80253.00","KY","3472","KY-3472","REALIGNMENT","1.7","3.229","IMPROVE GEOMETRIC ALIGNMENT FROM KY 3472 AT MP 1.7 CONTINUING PAST THE BERT. T. COMBS PARK TO THE INTERSECTION OF BEECH CREEK ROAD AND WHITE OAK ROAD. (APPROXIMATELY 1.5 MILES OF ROADWAY TO IMPROVE) (2022CCN)","","2022","2026","R","SPP","2000000","2029","","",""
"District 11","Clay","11-80253.00","KY","3472","KY-3472","REALIGNMENT","1.7","3.229","IMPROVE GEOMETRIC ALIGNMENT FROM KY 3472 AT MP 1.7 CONTINUING PAST THE BERT. T. COMBS PARK TO THE INTERSECTION OF BEECH CREEK ROAD AND WHITE OAK ROAD. (APPROXIMATELY 1.5 MILES OF ROADWAY TO IMPROVE) (2022CCN)","","2022","2026","C","SPP","14560000","2031","","",""
"District 11","Clay","11-80253.00","KY","3472","KY-3472","REALIGNMENT","1.7","3.229","IMPROVE GEOMETRIC ALIGNMENT FROM KY 3472 AT MP 1.7 CONTINUING PAST THE BERT. T. COMBS PARK TO THE INTERSECTION OF BEECH CREEK ROAD AND WHITE OAK ROAD. (APPROXIMATELY 1.5 MILES OF ROADWAY TO IMPROVE) (2022CCN)","","2022","2026","U","SPP","12760000","2030","","",""
"District 11","Clay","11-80254.00","CR","1004","CR-1004","REALIGNMENT","0.0","3.9","IMPROVE GEOMETRIC ALIGNMENT FROM THE INTERSECTION OF BEECH CREEK ROAD AND WHITE OAK ROAD TO KY-11 AT MP 14.24. (APPROXIMATELY 4.0 MILES OF ROAD WAY TO IMPROVE) (2022CCN)","","2022","2026","U","SPP","1250000","2030","","",""
"District 11","Clay","11-80254.00","CR","1004","CR-1004","REALIGNMENT","0.0","3.9","IMPROVE GEOMETRIC ALIGNMENT FROM THE INTERSECTION OF BEECH CREEK ROAD AND WHITE OAK ROAD TO KY-11 AT MP 14.24. (APPROXIMATELY 4.0 MILES OF ROAD WAY TO IMPROVE) (2022CCN)","","2022","2026","R","SPP","2200000","2029","","",""
"District 11","Clay","11-80254.00","CR","1004","CR-1004","REALIGNMENT","0.0","3.9","IMPROVE GEOMETRIC ALIGNMENT FROM THE INTERSECTION OF BEECH CREEK ROAD AND WHITE OAK ROAD TO KY-11 AT MP 14.24. (APPROXIMATELY 4.0 MILES OF ROAD WAY TO IMPROVE) (2022CCN)","","2022","2026","C","SPP","16000000","2031","","",""
"District 11","Clay","11-80352.00","HR","9006","HR-9006","PLANNING-OKI(O)","10.593","35.929","Preliminary Engineering and Environmental for Hal Rogers Parkway Improvement (HRPI) corridor from London to Hazard (BMP 3.887 to EMP 55.201) (IF-Potential RAISE GRANT) (2024CCN)","","2024","2026","D","IF","24960000","2027","","",""
"District 11","Clay","11-80356.00","KY","1524","KY-1524","GUARDRAIL REPLCMNT(P)","9.45","12.3","Install Guardrail on KY 1524 in Clay County (MP 9.45-12.3) (2024CCN)","","2024","2026","C","GR","90000","2026","","",""
"District 11","Clay","11-80411.00","KY","2076","KY-2076","REALIGNMENT","0.0","0.915","Improve geometrics and drainage, and add sidewalk. Improve shopping center intersection. (2026CCN)","","2026","2026","R","SPP","1000000","2030","","",""
"District 11","Clay","11-80411.00","KY","2076","KY-2076","REALIGNMENT","0.0","0.915","Improve geometrics and drainage, and add sidewalk. Improve shopping center intersection. (2026CCN)","","2026","2026","D","SPP","500000","2029","","",""
"District 11","Clay","11-80411.00","KY","2076","KY-2076","REALIGNMENT","0.0","0.915","Improve geometrics and drainage, and add sidewalk. Improve shopping center intersection. (2026CCN)","","2026","2026","C","SPP","6000000","2031","","",""
"District 11","Clay","11-80411.00","KY","2076","KY-2076","REALIGNMENT","0.0","0.915","Improve geometrics and drainage, and add sidewalk. Improve shopping center intersection. (2026CCN)","","2026","2026","U","SPP","600000","2030","","",""
"District 11","Clay","11-80423.00","CR","1082","CR-1082","BRIDGE REPLACEMENT(P)","0.05","0.1","Martin Cemetery Rd Bridge over Red Bird River Replacement 026C00158N (2026CCN)","026C00158N","2026","2026","D","FBP","100000","2027","","",""
"District 11","Clay","11-80423.00","CR","1082","CR-1082","BRIDGE REPLACEMENT(P)","0.05","0.1","Martin Cemetery Rd Bridge over Red Bird River Replacement 026C00158N (2026CCN)","026C00158N","2026","2026","C","FBP","630000","2027","","",""
"District 11","Clay","11-80423.00","CR","1082","CR-1082","BRIDGE REPLACEMENT(P)","0.05","0.1","Martin Cemetery Rd Bridge over Red Bird River Replacement 026C00158N (2026CCN)","026C00158N","2026","2026","U","FBP","100000","2027","","",""
"District 11","Clay","11-80425.00","CR","1156","CR-1156","BRIDGE REPLACEMENT(P)","0.15","0.175","Powder Horn Rd Bridge Replacement 026C00029N (2026CCN)","026C00029N","2026","2026","D","FBP","75000","2027","","",""
"District 11","Clay","11-80425.00","CR","1156","CR-1156","BRIDGE REPLACEMENT(P)","0.15","0.175","Powder Horn Rd Bridge Replacement 026C00029N (2026CCN)","026C00029N","2026","2026","R","FBP","10000","2027","","",""
